gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-7_S1.bam
"A1BG"	64
"A1BG-AS1"	168
"A1CF"	1
"A2M"	8412
"A2M-AS1"	112
"A2ML1"	247
"A2MP1"	0
"A3GALT2"	6
"A4GALT"	45
"A4GNT"	2
"AA06"	29
"AAAS"	359
"AACS"	1256
"AACSP1"	23
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	2
"AADACL4"	0
"AADACP1"	2
"AADAT"	402
"AAED1"	131
"AAGAB"	1367
"AAK1"	10830
"AAMDC"	55
"AAMP"	1453
"AANAT"	1
"AAR2"	469
"AARD"	15
"AARS"	7598
"AARS2"	699
"AARSD1"	323
"AASDH"	448
"AASDHPPT"	2242
"AASS"	1147
"AATBC"	11
"AATF"	707
"AATK"	2737
"ABALON"	12
"ABAT"	9581
"ABCA1"	4026
"ABCA10"	579
"ABCA11P"	284
"ABCA12"	41
"ABCA13"	19
"ABCA17P"	209
"ABCA2"	9068
"ABCA3"	5117
"ABCA4"	59
"ABCA5"	2552
"ABCA6"	600
"ABCA7"	446
"ABCA8"	298
"ABCA9"	916
"ABCA9-AS1"	3
"ABCB1"	2132
"ABCB10"	341
"ABCB11"	2
"ABCB4"	248
"ABCB5"	0
"ABCB6"	514
"ABCB7"	347
"ABCB8"	819
"ABCB9"	949
"ABCC1"	751
"ABCC10"	478
"ABCC11"	75
"ABCC12"	72
"ABCC13"	1
"ABCC2"	69
"ABCC3"	40
"ABCC4"	365
"ABCC5"	2933
"ABCC5-AS1"	0
"ABCC6"	7
"ABCC6P1"	1
"ABCC6P2"	1
"ABCC8"	1439
"ABCC9"	864
"ABCD1"	124
"ABCD2"	687
"ABCD3"	1307
"ABCD4"	896
"ABCE1"	1545
"ABCF1"	1178
"ABCF2"	1866
"ABCF3"	1257
"ABCG1"	1075
"ABCG2"	456
"ABCG4"	420
"ABCG5"	11
"ABCG8"	27
"ABHD1"	13
"ABHD10"	911
"ABHD11"	174
"ABHD11-AS1"	17
"ABHD12"	1779
"ABHD12B"	98
"ABHD13"	1020
"ABHD14A"	763
"ABHD14A-ACY1"	182
"ABHD14B"	160
"ABHD15"	81
"ABHD16A"	856
"ABHD16B"	0
"ABHD17A"	2355
"ABHD17B"	760
"ABHD17C"	390
"ABHD18"	545
"ABHD2"	7931
"ABHD3"	556
"ABHD4"	351
"ABHD5"	746
"ABHD6"	552
"ABHD8"	1800
"ABI1"	3142
"ABI2"	10633
"ABI3"	248
"ABI3BP"	79
"ABL1"	1741
"ABL2"	3483
"ABLIM1"	7910
"ABLIM2"	3232
"ABLIM3"	1051
"ABO"	4
"ABR"	16179
"ABRA"	94
"ABRACL"	139
"ABRAXAS1"	83
"ABRAXAS2"	675
"ABT1"	228
"ABTB1"	453
"ABTB2"	683
"ACAA1"	924
"ACAA2"	611
"ACACA"	5212
"ACACB"	931
"ACAD10"	388
"ACAD11"	487
"ACAD8"	643
"ACAD9"	963
"ACADL"	68
"ACADM"	1069
"ACADS"	219
"ACADSB"	1604
"ACADVL"	3115
"ACAN"	129
"ACAP1"	24
"ACAP2"	2405
"ACAP3"	3087
"ACAT1"	909
"ACAT2"	582
"ACBD3"	1663
"ACBD3-AS1"	2
"ACBD4"	313
"ACBD5"	1444
"ACBD6"	648
"ACBD7"	2151
"ACBD7-DCLRE1CP1"	53
"ACCS"	114
"ACCSL"	7
"ACD"	358
"ACE"	166
"ACE2"	12
"ACER1"	0
"ACER2"	551
"ACER3"	1276
"ACHE"	741
"ACIN1"	2572
"ACKR1"	300
"ACKR2"	18
"ACKR3"	223
"ACKR4"	7
"ACLY"	2923
"ACMSD"	0
"ACO1"	1003
"ACO2"	7095
"ACOD1"	0
"ACOT1"	96
"ACOT11"	317
"ACOT12"	40
"ACOT13"	545
"ACOT2"	232
"ACOT4"	83
"ACOT6"	2
"ACOT7"	2435
"ACOT8"	448
"ACOT9"	612
"ACOX1"	3850
"ACOX2"	54
"ACOX3"	570
"ACOXL"	0
"ACOXL-AS1"	13
"ACP1"	1399
"ACP2"	766
"ACP4"	0
"ACP5"	18
"ACP6"	163
"ACP7"	29
"ACPP"	48
"ACR"	11
"ACRBP"	27
"ACRV1"	15
"ACSBG1"	1300
"ACSBG2"	11
"ACSF2"	110
"ACSF3"	417
"ACSL1"	1491
"ACSL3"	8101
"ACSL4"	3639
"ACSL5"	543
"ACSL6"	4633
"ACSM1"	17
"ACSM2A"	2
"ACSM2B"	0
"ACSM3"	7
"ACSM4"	5
"ACSM5"	60
"ACSM6"	0
"ACSS1"	634
"ACSS2"	623
"ACSS3"	608
"ACTA1"	138
"ACTA2"	107
"ACTA2-AS1"	238
"ACTB"	47680
"ACTBL2"	4
"ACTC1"	65
"ACTG1"	21956
"ACTG1P17"	5
"ACTG1P20"	57
"ACTG1P4"	93
"ACTG2"	8
"ACTL10"	6
"ACTL6A"	104
"ACTL6B"	1129
"ACTL7A"	0
"ACTL7B"	4
