gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-23_S8.bam
"ADAM9"	1543
"ADAMDEC1"	0
"ADAMTS1"	1139
"ADAMTS10"	691
"ADAMTS12"	14
"ADAMTS13"	258
"ADAMTS14"	349
"ADAMTS15"	25
"ADAMTS16"	110
"ADAMTS17"	193
"ADAMTS18"	4
"ADAMTS19"	173
"ADAMTS19-AS1"	12
"ADAMTS2"	92
"ADAMTS20"	10
"ADAMTS3"	222
"ADAMTS4"	1425
"ADAMTS5"	67
"ADAMTS6"	102
"ADAMTS7"	36
"ADAMTS7P1"	56
"ADAMTS8"	423
"ADAMTS9"	578
"ADAMTS9-AS1"	16
"ADAMTS9-AS2"	157
"ADAMTSL1"	107
"ADAMTSL2"	522
"ADAMTSL3"	341
"ADAMTSL4"	21
"ADAMTSL4-AS1"	20
"ADAMTSL5"	36
"ADAP1"	2702
"ADAP2"	180
"ADAR"	8044
"ADARB1"	1591
"ADARB2"	2308
"ADARB2-AS1"	10
"ADAT1"	773
"ADAT2"	157
"ADAT3"	58
"ADCK1"	278
"ADCK2"	649
"ADCK5"	159
"ADCY1"	14323
"ADCY10"	29
"ADCY10P1"	282
"ADCY2"	4077
"ADCY3"	1813
"ADCY4"	170
"ADCY5"	2487
"ADCY6"	1132
"ADCY7"	442
"ADCY8"	599
"ADCY9"	1391
"ADCYAP1"	411
"ADCYAP1R1"	3811
"ADD1"	9380
"ADD2"	5838
"ADD3"	5122
"ADD3-AS1"	23
"ADGB"	2
"ADGRA1"	1151
"ADGRA1-AS1"	31
"ADGRA2"	422
"ADGRA3"	1140
"ADGRB1"	2447
"ADGRB2"	5121
"ADGRB3"	5877
"ADGRD1"	83
"ADGRD1-AS1"	0
"ADGRE1"	3
"ADGRE2"	100
"ADGRE3"	1
"ADGRE4P"	66
"ADGRE5"	229
"ADGRF1"	1
"ADGRF2"	3
"ADGRF3"	17
"ADGRF4"	3
"ADGRF5"	1274
"ADGRG1"	2352
"ADGRG2"	1
"ADGRG3"	5
"ADGRG4"	2
"ADGRG5"	11
"ADGRG6"	130
"ADGRG7"	0
"ADGRL1"	7696
"ADGRL2"	2993
"ADGRL3"	5426
"ADGRL3-AS1"	0
"ADGRL4"	154
"ADGRV1"	6836
"ADH1A"	0
"ADH1B"	16
"ADH1C"	0
"ADH4"	0
"ADH5"	909
"ADH6"	0
"ADH7"	0
"ADHFE1"	396
"ADI1"	727
"ADIG"	7
"ADIPOQ"	0
"ADIPOQ-AS1"	0
"ADIPOR1"	1529
"ADIPOR2"	2208
"ADIRF"	227
"ADK"	452
"ADM"	87
"ADM2"	1
"ADM5"	22
"ADNP"	2367
"ADNP-AS1"	12
"ADNP2"	865
"ADO"	1247
