gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-47_S7.bam
"A1BG"	28
"A1BG-AS1"	83
"A1CF"	0
"A2M"	1955
"A2M-AS1"	61
"A2ML1"	49
"A2MP1"	0
"A3GALT2"	0
"A4GALT"	27
"A4GNT"	0
"AA06"	37
"AAAS"	225
"AACS"	904
"AACSP1"	17
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	2
"AADAT"	177
"AAED1"	38
"AAGAB"	818
"AAK1"	7215
"AAMDC"	78
"AAMP"	973
"AANAT"	2
"AAR2"	184
"AARD"	8
"AARS"	4512
"AARS2"	383
"AARSD1"	166
"AASDH"	366
"AASDHPPT"	1406
"AASS"	636
"AATBC"	1
"AATF"	319
"AATK"	2158
"ABALON"	0
"ABAT"	5078
"ABCA1"	391
"ABCA10"	491
"ABCA11P"	187
"ABCA12"	7
"ABCA13"	2
"ABCA17P"	53
"ABCA2"	9100
"ABCA3"	2735
"ABCA4"	18
"ABCA5"	1960
"ABCA6"	421
"ABCA7"	365
"ABCA8"	608
"ABCA9"	398
"ABCA9-AS1"	0
"ABCB1"	344
"ABCB10"	241
"ABCB11"	2
"ABCB4"	3
"ABCB5"	0
"ABCB6"	450
"ABCB7"	317
"ABCB8"	473
"ABCB9"	423
"ABCC1"	366
"ABCC10"	225
"ABCC11"	14
"ABCC12"	35
"ABCC13"	2
"ABCC2"	15
"ABCC3"	20
"ABCC4"	192
"ABCC5"	2186
"ABCC5-AS1"	0
"ABCC6"	13
"ABCC6P1"	6
"ABCC6P2"	1
"ABCC8"	860
"ABCC9"	701
"ABCD1"	29
"ABCD2"	417
"ABCD3"	582
"ABCD4"	454
"ABCE1"	680
"ABCF1"	527
"ABCF2"	842
"ABCF3"	738
"ABCG1"	494
"ABCG2"	474
"ABCG4"	298
"ABCG5"	5
"ABCG8"	28
"ABHD1"	6
"ABHD10"	579
"ABHD11"	62
"ABHD11-AS1"	0
"ABHD12"	988
"ABHD12B"	57
"ABHD13"	402
"ABHD14A"	240
"ABHD14A-ACY1"	84
"ABHD14B"	77
"ABHD15"	65
"ABHD16A"	418
"ABHD16B"	2
"ABHD17A"	651
"ABHD17B"	509
"ABHD17C"	178
"ABHD18"	258
"ABHD2"	3692
"ABHD3"	104
"ABHD4"	197
"ABHD5"	284
"ABHD6"	555
"ABHD8"	724
"ABI1"	1001
"ABI2"	4203
"ABI3"	30
"ABI3BP"	72
"ABL1"	680
"ABL2"	1893
"ABLIM1"	3950
"ABLIM2"	1062
"ABLIM3"	561
"ABO"	3
"ABR"	6077
"ABRA"	2
"ABRACL"	67
"ABRAXAS1"	38
"ABRAXAS2"	301
"ABT1"	109
"ABTB1"	414
"ABTB2"	71
"ACAA1"	464
"ACAA2"	309
"ACACA"	3615
"ACACB"	883
"ACAD10"	228
"ACAD11"	493
"ACAD8"	361
"ACAD9"	496
"ACADL"	38
"ACADM"	507
"ACADS"	127
"ACADSB"	749
"ACADVL"	1552
"ACAN"	157
"ACAP1"	17
"ACAP2"	1011
"ACAP3"	1052
"ACAT1"	382
"ACAT2"	419
"ACBD3"	456
"ACBD3-AS1"	0
"ACBD4"	223
"ACBD5"	1057
"ACBD6"	291
"ACBD7"	674
"ACBD7-DCLRE1CP1"	18
"ACCS"	87
"ACCSL"	0
"ACD"	168
"ACE"	129
"ACE2"	5
"ACER1"	0
"ACER2"	111
"ACER3"	788
"ACHE"	195
"ACIN1"	1188
"ACKR1"	116
"ACKR2"	21
"ACKR3"	54
"ACKR4"	1
"ACLY"	1689
"ACMSD"	0
"ACO1"	534
"ACO2"	3530
"ACOD1"	0
"ACOT1"	61
"ACOT11"	254
"ACOT12"	4
"ACOT13"	251
"ACOT2"	107
"ACOT4"	20
"ACOT6"	6
"ACOT7"	1093
"ACOT8"	174
"ACOT9"	372
"ACOX1"	1435
"ACOX2"	32
"ACOX3"	433
"ACOXL"	0
"ACOXL-AS1"	12
"ACP1"	670
"ACP2"	304
"ACP4"	0
"ACP5"	4
"ACP6"	158
"ACP7"	13
"ACPP"	7
"ACR"	6
"ACRBP"	6
"ACRV1"	11
"ACSBG1"	636
"ACSBG2"	0
"ACSF2"	71
"ACSF3"	231
"ACSL1"	806
"ACSL3"	2701
"ACSL4"	1317
"ACSL5"	231
"ACSL6"	2913
"ACSM1"	3
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	1
"ACSM4"	0
"ACSM5"	54
"ACSM6"	0
"ACSS1"	609
"ACSS2"	556
"ACSS3"	425
"ACTA1"	5
"ACTA2"	252
"ACTA2-AS1"	120
"ACTB"	19496
"ACTBL2"	0
"ACTC1"	14
"ACTG1"	9077
"ACTG1P17"	6
"ACTG1P20"	48
"ACTG1P4"	132
"ACTG2"	27
"ACTL10"	0
"ACTL6A"	75
"ACTL6B"	392
"ACTL7A"	0
