gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-20_S5.bam
"A1BG"	72
"A1BG-AS1"	141
"A1CF"	0
"A2M"	1735
"A2M-AS1"	94
"A2ML1"	126
"A2MP1"	3
"A3GALT2"	6
"A4GALT"	38
"A4GNT"	1
"AA06"	40
"AAAS"	348
"AACS"	1316
"AACSP1"	14
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	367
"AAED1"	64
"AAGAB"	1473
"AAK1"	9822
"AAMDC"	43
"AAMP"	1383
"AANAT"	3
"AAR2"	271
"AARD"	34
"AARS"	6334
"AARS2"	772
"AARSD1"	320
"AASDH"	551
"AASDHPPT"	1784
"AASS"	1268
"AATBC"	0
"AATF"	689
"AATK"	3685
"ABALON"	5
"ABAT"	8045
"ABCA1"	721
"ABCA10"	573
"ABCA11P"	294
"ABCA12"	21
"ABCA13"	4
"ABCA17P"	83
"ABCA2"	13439
"ABCA3"	5335
"ABCA4"	51
"ABCA5"	2342
"ABCA6"	564
"ABCA7"	467
"ABCA8"	1695
"ABCA9"	526
"ABCA9-AS1"	1
"ABCB1"	343
"ABCB10"	334
"ABCB11"	6
"ABCB4"	17
"ABCB5"	0
"ABCB6"	686
"ABCB7"	344
"ABCB8"	773
"ABCB9"	617
"ABCC1"	566
"ABCC10"	398
"ABCC11"	27
"ABCC12"	122
"ABCC13"	2
"ABCC2"	19
"ABCC3"	46
"ABCC4"	227
"ABCC5"	2895
"ABCC5-AS1"	0
"ABCC6"	19
"ABCC6P1"	3
"ABCC6P2"	0
"ABCC8"	1620
"ABCC9"	866
"ABCD1"	87
"ABCD2"	776
"ABCD3"	1150
"ABCD4"	589
"ABCE1"	1340
"ABCF1"	1160
"ABCF2"	1206
"ABCF3"	1185
"ABCG1"	782
"ABCG2"	355
"ABCG4"	454
"ABCG5"	8
"ABCG8"	35
"ABHD1"	12
"ABHD10"	914
"ABHD11"	143
"ABHD11-AS1"	1
"ABHD12"	1533
"ABHD12B"	45
"ABHD13"	734
"ABHD14A"	570
"ABHD14A-ACY1"	145
"ABHD14B"	148
"ABHD15"	106
"ABHD16A"	716
"ABHD16B"	0
"ABHD17A"	1915
"ABHD17B"	544
"ABHD17C"	272
"ABHD18"	450
"ABHD2"	5373
"ABHD3"	118
"ABHD4"	197
"ABHD5"	453
"ABHD6"	761
"ABHD8"	1408
"ABI1"	1903
"ABI2"	8984
"ABI3"	98
"ABI3BP"	124
"ABL1"	1372
"ABL2"	2695
"ABLIM1"	5244
"ABLIM2"	2276
"ABLIM3"	1421
"ABO"	6
"ABR"	12289
"ABRA"	5
"ABRACL"	100
"ABRAXAS1"	62
"ABRAXAS2"	609
"ABT1"	222
"ABTB1"	622
"ABTB2"	137
"ACAA1"	733
"ACAA2"	443
"ACACA"	5483
"ACACB"	1058
"ACAD10"	377
"ACAD11"	564
"ACAD8"	503
"ACAD9"	869
"ACADL"	27
"ACADM"	980
"ACADS"	147
"ACADSB"	1498
"ACADVL"	3232
"ACAN"	74
"ACAP1"	15
"ACAP2"	1906
"ACAP3"	2766
"ACAT1"	886
"ACAT2"	710
"ACBD3"	1062
"ACBD3-AS1"	0
"ACBD4"	348
"ACBD5"	1677
"ACBD6"	596
"ACBD7"	2273
"ACBD7-DCLRE1CP1"	56
"ACCS"	102
"ACCSL"	3
"ACD"	259
"ACE"	154
"ACE2"	8
"ACER1"	0
"ACER2"	191
"ACER3"	1368
"ACHE"	320
"ACIN1"	2344
"ACKR1"	205
"ACKR2"	18
"ACKR3"	84
"ACKR4"	2
"ACLY"	2935
"ACMSD"	0
"ACO1"	614
"ACO2"	7512
"ACOD1"	0
"ACOT1"	45
"ACOT11"	374
"ACOT12"	16
"ACOT13"	632
"ACOT2"	195
"ACOT4"	50
"ACOT6"	3
"ACOT7"	2019
"ACOT8"	416
"ACOT9"	577
"ACOX1"	2643
"ACOX2"	44
"ACOX3"	462
"ACOXL"	0
"ACOXL-AS1"	24
"ACP1"	1268
"ACP2"	708
"ACP4"	0
"ACP5"	2
"ACP6"	230
"ACP7"	66
"ACPP"	9
"ACR"	6
"ACRBP"	18
"ACRV1"	19
"ACSBG1"	1648
"ACSBG2"	3
"ACSF2"	143
"ACSF3"	250
"ACSL1"	1305
"ACSL3"	6599
"ACSL4"	2775
"ACSL5"	280
"ACSL6"	5151
"ACSM1"	7
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	0
"ACSM4"	0
"ACSM5"	31
"ACSM6"	0
"ACSS1"	1078
"ACSS2"	705
"ACSS3"	531
"ACTA1"	16
"ACTA2"	117
"ACTA2-AS1"	207
"ACTB"	30123
"ACTBL2"	0
"ACTC1"	16
"ACTG1"	13854
"ACTG1P17"	10
"ACTG1P20"	45
"ACTG1P4"	220
"ACTG2"	6
"ACTL10"	4
"ACTL6A"	66
"ACTL6B"	831
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	0
"ACTL9"	0
"ACTN1"	3216
"ACTN1-AS1"	1
"ACTN2"	1951
"ACTN3"	3
"ACTN4"	3813
"ACTR10"	1022
"ACTR1A"	4321
"ACTR1B"	2128
"ACTR2"	4658
"ACTR3"	1984
"ACTR3B"	753
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	288
"ACTR5"	144
"ACTR6"	419
"ACTR8"	727
"ACTRT1"	1
"ACTRT2"	0
"ACTRT3"	42
"ACVR1"	257
"ACVR1B"	1857
"ACVR1C"	474
"ACVR2A"	1146
"ACVR2B"	1222
"ACVR2B-AS1"	28
"ACVRL1"	262
"ACY1"	47
"ACY3"	9
"ACYP1"	162
"ACYP2"	411
"ADA"	24
"ADA2"	118
"ADAD1"	1
"ADAD2"	17
"ADAL"	274
"ADAM10"	1954
"ADAM11"	2753
"ADAM12"	129
"ADAM15"	724
"ADAM17"	779
"ADAM18"	1
"ADAM19"	642
"ADAM1A"	176
"ADAM2"	0
"ADAM20"	264
"ADAM20P1"	363
"ADAM21"	13
"ADAM21P1"	0
"ADAM22"	7437
"ADAM23"	4310
"ADAM28"	176
"ADAM29"	6
"ADAM30"	0
"ADAM32"	190
"ADAM33"	73
"ADAM3A"	0
"ADAM3B"	6
"ADAM5"	9
"ADAM6"	0
"ADAM7"	0
"ADAM8"	73
"ADAM9"	1565
"ADAMDEC1"	0
"ADAMTS1"	1012
"ADAMTS10"	665
"ADAMTS12"	12
"ADAMTS13"	294
"ADAMTS14"	167
"ADAMTS15"	24
"ADAMTS16"	69
"ADAMTS17"	212
"ADAMTS18"	155
"ADAMTS19"	248
"ADAMTS19-AS1"	25
"ADAMTS2"	76
"ADAMTS20"	18
"ADAMTS3"	257
"ADAMTS4"	887
"ADAMTS5"	45
"ADAMTS6"	54
"ADAMTS7"	30
"ADAMTS7P1"	94
"ADAMTS8"	444
"ADAMTS9"	1385
"ADAMTS9-AS1"	14
"ADAMTS9-AS2"	137
"ADAMTSL1"	186
"ADAMTSL2"	372
"ADAMTSL3"	242
"ADAMTSL4"	24
"ADAMTSL4-AS1"	32
"ADAMTSL5"	11
"ADAP1"	2466
"ADAP2"	93
"ADAR"	8541
"ADARB1"	1666
"ADARB2"	1484
"ADARB2-AS1"	9
"ADAT1"	817
"ADAT2"	162
"ADAT3"	37
"ADCK1"	236
"ADCK2"	577
"ADCK5"	131
"ADCY1"	17207
"ADCY10"	74
"ADCY10P1"	213
"ADCY2"	4877
"ADCY3"	1855
"ADCY4"	63
"ADCY5"	2418
"ADCY6"	1179
"ADCY7"	350
"ADCY8"	552
"ADCY9"	1354
"ADCYAP1"	240
"ADCYAP1R1"	3329
"ADD1"	8772
"ADD2"	8215
"ADD3"	5345
"ADD3-AS1"	20
"ADGB"	3
"ADGRA1"	985
"ADGRA1-AS1"	28
"ADGRA2"	322
"ADGRA3"	1222
"ADGRB1"	2150
"ADGRB2"	5541
"ADGRB3"	7646
"ADGRD1"	106
"ADGRD1-AS1"	0
"ADGRE1"	11
"ADGRE2"	142
"ADGRE3"	2
"ADGRE4P"	3
"ADGRE5"	101
"ADGRF1"	0
"ADGRF2"	8
"ADGRF3"	21
"ADGRF4"	5
"ADGRF5"	860
"ADGRG1"	2257
"ADGRG2"	8
"ADGRG3"	16
"ADGRG4"	4
"ADGRG5"	1
"ADGRG6"	61
"ADGRG7"	0
"ADGRL1"	8123
"ADGRL2"	3672
"ADGRL3"	7721
"ADGRL3-AS1"	0
"ADGRL4"	121
"ADGRV1"	6204
"ADH1A"	0
"ADH1B"	26
"ADH1C"	0
"ADH4"	0
"ADH5"	1009
"ADH6"	0
"ADH7"	2
"ADHFE1"	370
"ADI1"	675
"ADIG"	2
"ADIPOQ"	0
"ADIPOQ-AS1"	0
"ADIPOR1"	1622
"ADIPOR2"	1838
"ADIRF"	175
"ADK"	546
"ADM"	145
"ADM2"	0
"ADM5"	10
"ADNP"	2682
"ADNP-AS1"	14
"ADNP2"	1043
"ADO"	925
"ADORA1"	1307
"ADORA2A"	41
"ADORA2A-AS1"	2
"ADORA2B"	92
"ADORA3"	33
"ADPGK"	396
"ADPGK-AS1"	7
"ADPRH"	30
"ADPRHL1"	188
"ADPRHL2"	307
"ADPRM"	139
"ADRA1A"	633
"ADRA1B"	236
"ADRA1D"	101
"ADRA2A"	191
"ADRA2B"	20
"ADRA2C"	101
"ADRB1"	311
"ADRB2"	73
"ADRB3"	4
"ADRM1"	1064
"ADSL"	264
"ADSS"	1267
"ADSSL1"	58
"ADTRP"	157
"AEBP1"	440
"AEBP2"	1493
"AEN"	215
"AES"	6262
"AFAP1"	1099
"AFAP1-AS1"	25
"AFAP1L1"	92
"AFAP1L2"	608
"AFDN"	4330
"AFDN-DT"	16
"AFF1"	2055
"AFF1-AS1"	58
"AFF2"	1467
"AFF3"	2939
"AFF4"	6224
"AFG1L"	281
"AFG3L1P"	251
"AFG3L2"	1809
"AFM"	0
"AFMID"	383
"AFP"	3
"AFTPH"	1610
"AGA"	143
"AGAP1"	7657
"AGAP1-IT1"	14
"AGAP11"	61
"AGAP12P"	62
"AGAP2"	10084
"AGAP2-AS1"	18
"AGAP3"	3640
"AGAP4"	203
"AGAP5"	105
"AGAP6"	270
"AGAP7P"	88
"AGAP9"	107
"AGBL1"	48
"AGBL1-AS1"	0
"AGBL2"	6
"AGBL3"	67
"AGBL4"	869
"AGBL4-IT1"	50
"AGBL5"	323
"AGBL5-AS1"	2
"AGER"	36
"AGFG1"	2712
"AGFG2"	777
"AGGF1"	1745
"AGK"	1287
"AGL"	1690
"AGMAT"	74
"AGMO"	15
"AGO1"	2287
"AGO2"	2896
"AGO3"	867
"AGO4"	1335
"AGPAT1"	1575
"AGPAT2"	137
"AGPAT3"	3471
"AGPAT4"	2397
"AGPAT4-IT1"	125
"AGPAT5"	842
"AGPS"	1209
"AGR2"	1
"AGR3"	0
"AGRN"	1974
"AGRP"	3
"AGT"	3558
"AGTPBP1"	4292
"AGTR1"	1
"AGTR2"	0
"AGTRAP"	95
"AGXT"	0
"AGXT2"	0
"AHCTF1"	2664
"AHCTF1P1"	4
"AHCY"	1058
"AHCYL1"	7856
"AHCYL2"	1936
"AHDC1"	1390
"AHI1"	3296
"AHNAK"	9589
"AHNAK2"	4737
"AHR"	865
"AHRR"	123
"AHSA1"	2269
"AHSA2P"	881
"AHSG"	7
"AHSP"	0
"AICDA"	0
"AIDA"	1483
"AIF1"	78
"AIF1L"	1417
"AIFM1"	465
"AIFM2"	226
"AIFM3"	816
"AIG1"	886
"AIM2"	2
"AIMP1"	353
"AIMP2"	174
"AIP"	625
"AIPL1"	7
"AIRE"	16
"AIRN"	7
"AJAP1"	1385
"AJM1"	377
"AJUBA"	7
"AK1"	873
"AK2"	1159
"AK3"	1462
"AK4"	2037
"AK5"	11343
"AK6"	252
"AK7"	93
"AK8"	58
"AK9"	535
"AKAIN1"	23
"AKAP1"	1719
"AKAP10"	1366
"AKAP11"	14844
"AKAP12"	11095
"AKAP13"	3235
"AKAP14"	10
"AKAP17A"	328
"AKAP2"	1357
"AKAP3"	32
"AKAP4"	1
"AKAP5"	2274
"AKAP6"	13659
"AKAP7"	615
"AKAP8"	847
"AKAP8L"	2060
"AKAP9"	6737
"AKIP1"	183
"AKIRIN1"	1547
"AKIRIN2"	679
"AKNA"	566
"AKNAD1"	2
"AKR1A1"	419
"AKR1B1"	719
"AKR1B10"	0
"AKR1B15"	0
"AKR1C1"	120
"AKR1C2"	118
"AKR1C3"	97
"AKR1C4"	0
"AKR1C6P"	0
"AKR1C8P"	1
"AKR1D1"	0
"AKR1E2"	190
"AKR7A2"	676
"AKR7A2P1"	5
"AKR7A3"	60
"AKR7L"	44
"AKT1"	1720
"AKT1S1"	381
"AKT2"	1310
"AKT3"	14984
"AKTIP"	1300
"ALAD"	1758
"ALAS1"	1163
"ALAS2"	47
"ALB"	22
"ALCAM"	2669
"ALDH16A1"	126
"ALDH18A1"	646
"ALDH1A1"	944
"ALDH1A2"	98
"ALDH1A3"	207
"ALDH1B1"	250
"ALDH1L1"	2065
"ALDH1L1-AS1"	1
"ALDH1L1-AS2"	55
"ALDH1L2"	532
"ALDH2"	3046
"ALDH3A1"	10
"ALDH3A2"	1194
"ALDH3B1"	39
"ALDH3B2"	0
"ALDH4A1"	936
"ALDH5A1"	2789
"ALDH6A1"	3508
"ALDH7A1"	1677
"ALDH8A1"	106
"ALDH9A1"	766
"ALDOA"	19869
