gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-39_S5.bam
"A1BG"	31
"A1BG-AS1"	116
"A1CF"	0
"A2M"	3194
"A2M-AS1"	115
"A2ML1"	141
"A2MP1"	1
"A3GALT2"	1
"A4GALT"	34
"A4GNT"	0
"AA06"	21
"AAAS"	266
"AACS"	509
"AACSP1"	9
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	149
"AAED1"	26
"AAGAB"	397
"AAK1"	3987
"AAMDC"	41
"AAMP"	646
"AANAT"	2
"AAR2"	180
"AARD"	7
"AARS"	3074
"AARS2"	454
"AARSD1"	85
"AASDH"	364
"AASDHPPT"	669
"AASS"	696
"AATBC"	1
"AATF"	495
"AATK"	3761
"ABALON"	4
"ABAT"	3188
"ABCA1"	1542
"ABCA10"	185
"ABCA11P"	62
"ABCA12"	10
"ABCA13"	4
"ABCA17P"	102
"ABCA2"	17308
"ABCA3"	2460
"ABCA4"	6
"ABCA5"	817
"ABCA6"	280
"ABCA7"	323
"ABCA8"	3135
"ABCA9"	322
"ABCA9-AS1"	0
"ABCB1"	411
"ABCB10"	172
"ABCB11"	3
"ABCB4"	8
"ABCB5"	1
"ABCB6"	579
"ABCB7"	241
"ABCB8"	623
"ABCB9"	251
"ABCC1"	430
"ABCC10"	359
"ABCC11"	20
"ABCC12"	23
"ABCC13"	1
"ABCC2"	49
"ABCC3"	15
"ABCC4"	262
"ABCC5"	1872
"ABCC5-AS1"	0
"ABCC6"	15
"ABCC6P1"	5
"ABCC6P2"	1
"ABCC8"	683
"ABCC9"	802
"ABCD1"	94
"ABCD2"	178
"ABCD3"	559
"ABCD4"	533
"ABCE1"	413
"ABCF1"	532
"ABCF2"	669
"ABCF3"	723
"ABCG1"	570
"ABCG2"	385
"ABCG4"	131
"ABCG5"	0
"ABCG8"	20
"ABHD1"	13
"ABHD10"	327
"ABHD11"	39
"ABHD11-AS1"	2
"ABHD12"	692
"ABHD12B"	36
"ABHD13"	374
"ABHD14A"	191
"ABHD14A-ACY1"	64
"ABHD14B"	79
"ABHD15"	76
"ABHD16A"	434
"ABHD16B"	0
"ABHD17A"	839
"ABHD17B"	541
"ABHD17C"	151
"ABHD18"	250
"ABHD2"	2729
"ABHD3"	128
"ABHD4"	335
"ABHD5"	289
"ABHD6"	525
"ABHD8"	637
"ABI1"	874
"ABI2"	3023
"ABI3"	47
"ABI3BP"	281
"ABL1"	1341
"ABL2"	1354
"ABLIM1"	4383
"ABLIM2"	758
"ABLIM3"	686
"ABO"	14
"ABR"	6757
"ABRA"	0
"ABRACL"	59
"ABRAXAS1"	32
"ABRAXAS2"	225
"ABT1"	93
"ABTB1"	266
"ABTB2"	211
"ACAA1"	526
"ACAA2"	274
"ACACA"	2751
"ACACB"	1136
"ACAD10"	348
"ACAD11"	405
"ACAD8"	252
"ACAD9"	460
"ACADL"	32
"ACADM"	378
"ACADS"	82
"ACADSB"	471
"ACADVL"	2120
"ACAN"	113
"ACAP1"	13
"ACAP2"	1160
"ACAP3"	1706
"ACAT1"	314
"ACAT2"	162
"ACBD3"	433
"ACBD3-AS1"	0
"ACBD4"	197
"ACBD5"	1120
"ACBD6"	275
"ACBD7"	640
"ACBD7-DCLRE1CP1"	21
"ACCS"	49
"ACCSL"	0
"ACD"	156
"ACE"	65
"ACE2"	0
"ACER1"	0
"ACER2"	126
"ACER3"	791
"ACHE"	205
"ACIN1"	1850
"ACKR1"	67
"ACKR2"	21
"ACKR3"	84
"ACKR4"	6
"ACLY"	924
"ACMSD"	0
"ACO1"	413
"ACO2"	3853
"ACOD1"	0
"ACOT1"	12
"ACOT11"	522
"ACOT12"	4
"ACOT13"	255
"ACOT2"	84
"ACOT4"	11
"ACOT6"	1
"ACOT7"	744
"ACOT8"	160
"ACOT9"	187
"ACOX1"	1111
"ACOX2"	69
"ACOX3"	339
"ACOXL"	0
"ACOXL-AS1"	6
"ACP1"	390
"ACP2"	180
"ACP4"	0
"ACP5"	19
"ACP6"	200
"ACP7"	38
"ACPP"	6
"ACR"	4
"ACRBP"	19
"ACRV1"	4
"ACSBG1"	616
"ACSBG2"	7
"ACSF2"	173
"ACSF3"	235
"ACSL1"	952
"ACSL3"	1994
"ACSL4"	808
"ACSL5"	143
"ACSL6"	1301
"ACSM1"	3
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	2
"ACSM4"	0
"ACSM5"	64
"ACSM6"	0
"ACSS1"	874
"ACSS2"	485
"ACSS3"	406
"ACTA1"	11
"ACTA2"	202
"ACTA2-AS1"	130
"ACTB"	13085
"ACTBL2"	0
"ACTC1"	3
"ACTG1"	5582
"ACTG1P17"	8
"ACTG1P20"	52
"ACTG1P4"	70
"ACTG2"	8
"ACTL10"	1
"ACTL6A"	72
"ACTL6B"	280
"ACTL7A"	0
"ACTL7B"	0
