gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-1_S1.bam
"A1BG"	78
"A1BG-AS1"	204
"A1CF"	1
"A2M"	7996
"A2M-AS1"	128
"A2ML1"	208
"A2MP1"	5
"A3GALT2"	2
"A4GALT"	38
"A4GNT"	1
"AA06"	56
"AAAS"	433
"AACS"	2267
"AACSP1"	39
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	1
"AADACP1"	2
"AADAT"	396
"AAED1"	105
"AAGAB"	2340
"AAK1"	12066
"AAMDC"	97
"AAMP"	2258
"AANAT"	7
"AAR2"	410
"AARD"	30
"AARS"	6263
"AARS2"	862
"AARSD1"	293
"AASDH"	1088
"AASDHPPT"	4089
"AASS"	1637
"AATBC"	5
"AATF"	649
"AATK"	3099
"ABALON"	5
"ABAT"	12430
"ABCA1"	2568
"ABCA10"	1150
"ABCA11P"	639
"ABCA12"	24
"ABCA13"	24
"ABCA17P"	159
"ABCA2"	13602
"ABCA3"	5731
"ABCA4"	640
"ABCA5"	5086
"ABCA6"	1128
"ABCA7"	451
"ABCA8"	2597
"ABCA9"	1237
"ABCA9-AS1"	3
"ABCB1"	890
"ABCB10"	616
"ABCB11"	5
"ABCB4"	31
"ABCB5"	1
"ABCB6"	998
"ABCB7"	604
"ABCB8"	870
"ABCB9"	865
"ABCC1"	847
"ABCC10"	591
"ABCC11"	43
"ABCC12"	150
"ABCC13"	0
"ABCC2"	29
"ABCC3"	39
"ABCC4"	650
"ABCC5"	3972
"ABCC5-AS1"	0
"ABCC6"	32
"ABCC6P1"	24
"ABCC6P2"	3
"ABCC8"	1992
"ABCC9"	1401
"ABCD1"	79
"ABCD2"	1789
"ABCD3"	2037
"ABCD4"	555
"ABCE1"	2299
"ABCF1"	1002
"ABCF2"	1900
"ABCF3"	1272
"ABCG1"	1537
"ABCG2"	1430
"ABCG4"	448
"ABCG5"	12
"ABCG8"	43
"ABHD1"	25
"ABHD10"	1388
"ABHD11"	210
"ABHD11-AS1"	0
"ABHD12"	1628
"ABHD12B"	121
"ABHD13"	834
"ABHD14A"	486
"ABHD14A-ACY1"	195
"ABHD14B"	190
"ABHD15"	158
"ABHD16A"	1275
"ABHD16B"	0
"ABHD17A"	1447
"ABHD17B"	1088
"ABHD17C"	562
"ABHD18"	660
"ABHD2"	8765
"ABHD3"	240
"ABHD4"	279
"ABHD5"	894
"ABHD6"	1134
"ABHD8"	1624
"ABI1"	2702
"ABI2"	12444
"ABI3"	70
"ABI3BP"	113
"ABL1"	1307
"ABL2"	3511
"ABLIM1"	9959
"ABLIM2"	2246
"ABLIM3"	1277
"ABO"	21
"ABR"	12541
"ABRA"	1
"ABRACL"	180
"ABRAXAS1"	233
"ABRAXAS2"	787
"ABT1"	296
"ABTB1"	812
"ABTB2"	158
"ACAA1"	921
"ACAA2"	746
"ACACA"	9635
"ACACB"	1313
"ACAD10"	548
"ACAD11"	718
"ACAD8"	912
"ACAD9"	1282
"ACADL"	115
"ACADM"	1683
"ACADS"	297
"ACADSB"	2473
"ACADVL"	3622
"ACAN"	63
"ACAP1"	23
"ACAP2"	2981
"ACAP3"	3209
"ACAT1"	1760
"ACAT2"	1469
"ACBD3"	1074
"ACBD3-AS1"	1
"ACBD4"	325
"ACBD5"	2550
"ACBD6"	757
"ACBD7"	3704
"ACBD7-DCLRE1CP1"	134
"ACCS"	267
"ACCSL"	5
"ACD"	324
"ACE"	219
"ACE2"	43
"ACER1"	2
"ACER2"	256
"ACER3"	1825
"ACHE"	408
"ACIN1"	2516
"ACKR1"	223
"ACKR2"	41
"ACKR3"	186
"ACKR4"	3
"ACLY"	3662
"ACMSD"	0
"ACO1"	1319
"ACO2"	8553
"ACOD1"	3
"ACOT1"	244
"ACOT11"	873
"ACOT12"	25
"ACOT13"	687
"ACOT2"	292
"ACOT4"	138
"ACOT6"	0
"ACOT7"	2480
"ACOT8"	673
"ACOT9"	1023
"ACOX1"	4170
"ACOX2"	105
"ACOX3"	748
"ACOXL"	1
"ACOXL-AS1"	20
"ACP1"	2062
"ACP2"	943
"ACP4"	0
"ACP5"	17
"ACP6"	270
"ACP7"	42
"ACPP"	15
"ACR"	7
"ACRBP"	17
"ACRV1"	24
"ACSBG1"	2320
"ACSBG2"	8
"ACSF2"	228
"ACSF3"	401
"ACSL1"	1600
"ACSL3"	9130
"ACSL4"	4077
"ACSL5"	150
"ACSL6"	7719
"ACSM1"	7
"ACSM2A"	1
"ACSM2B"	0
"ACSM3"	4
"ACSM4"	0
"ACSM5"	205
"ACSM6"	0
"ACSS1"	1303
"ACSS2"	942
"ACSS3"	680
"ACTA1"	28
"ACTA2"	242
"ACTA2-AS1"	294
"ACTB"	37809
"ACTBL2"	0
"ACTC1"	46
"ACTG1"	18298
"ACTG1P17"	20
"ACTG1P20"	107
"ACTG1P4"	226
"ACTG2"	6
"ACTL10"	9
"ACTL6A"	159
"ACTL6B"	970
"ACTL7A"	0
"ACTL7B"	6
"ACTL8"	0
"ACTL9"	0
"ACTN1"	2927
"ACTN1-AS1"	2
"ACTN2"	2084
"ACTN3"	4
"ACTN4"	2652
"ACTR10"	2219
"ACTR1A"	5026
"ACTR1B"	3123
"ACTR2"	6535
"ACTR3"	3047
"ACTR3B"	1083
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	687
"ACTR5"	373
"ACTR6"	1001
"ACTR8"	1539
"ACTRT1"	3
"ACTRT2"	0
"ACTRT3"	65
"ACVR1"	484
"ACVR1B"	2510
"ACVR1C"	615
"ACVR2A"	1767
"ACVR2B"	1642
"ACVR2B-AS1"	40
"ACVRL1"	241
"ACY1"	78
"ACY3"	21
"ACYP1"	202
"ACYP2"	880
"ADA"	66
"ADA2"	398
"ADAD1"	1
"ADAD2"	22
"ADAL"	603
"ADAM10"	3288
"ADAM11"	2697
"ADAM12"	149
"ADAM15"	1063
"ADAM17"	1394
"ADAM18"	0
"ADAM19"	504
"ADAM1A"	295
"ADAM2"	0
"ADAM20"	412
"ADAM20P1"	316
"ADAM21"	14
"ADAM21P1"	4
"ADAM22"	10392
"ADAM23"	4478
"ADAM28"	463
"ADAM29"	9
"ADAM30"	0
"ADAM32"	409
"ADAM33"	172
"ADAM3A"	0
"ADAM3B"	7
"ADAM5"	4
"ADAM6"	0
"ADAM7"	0
"ADAM8"	66
"ADAM9"	2028
"ADAMDEC1"	1
"ADAMTS1"	582
"ADAMTS10"	800
"ADAMTS12"	23
"ADAMTS13"	274
"ADAMTS14"	77
"ADAMTS15"	26
"ADAMTS16"	297
"ADAMTS17"	260
"ADAMTS18"	183
"ADAMTS19"	428
"ADAMTS19-AS1"	20
"ADAMTS2"	126
"ADAMTS20"	5
"ADAMTS3"	480
"ADAMTS4"	529
"ADAMTS5"	71
"ADAMTS6"	130
"ADAMTS7"	36
"ADAMTS7P1"	80
"ADAMTS8"	596
"ADAMTS9"	260
"ADAMTS9-AS1"	17
"ADAMTS9-AS2"	183
"ADAMTSL1"	150
"ADAMTSL2"	552
"ADAMTSL3"	414
"ADAMTSL4"	26
"ADAMTSL4-AS1"	50
"ADAMTSL5"	24
"ADAP1"	2318
"ADAP2"	314
"ADAR"	13626
"ADARB1"	2187
"ADARB2"	1785
"ADARB2-AS1"	9
"ADAT1"	895
"ADAT2"	330
"ADAT3"	24
"ADCK1"	279
"ADCK2"	918
"ADCK5"	206
"ADCY1"	15851
"ADCY10"	36
"ADCY10P1"	253
"ADCY2"	6649
"ADCY3"	2009
"ADCY4"	77
"ADCY5"	2799
"ADCY6"	1425
"ADCY7"	636
"ADCY8"	803
"ADCY9"	1899
"ADCYAP1"	197
"ADCYAP1R1"	7075
"ADD1"	9453
"ADD2"	6008
"ADD3"	11105
"ADD3-AS1"	80
"ADGB"	22
"ADGRA1"	918
"ADGRA1-AS1"	19
"ADGRA2"	465
"ADGRA3"	2059
"ADGRB1"	1737
"ADGRB2"	5647
"ADGRB3"	11072
"ADGRD1"	93
"ADGRD1-AS1"	0
"ADGRE1"	7
"ADGRE2"	44
"ADGRE3"	0
"ADGRE4P"	26
"ADGRE5"	149
"ADGRF1"	1
"ADGRF2"	25
"ADGRF3"	21
"ADGRF4"	13
"ADGRF5"	1587
"ADGRG1"	2643
"ADGRG2"	7
"ADGRG3"	5
"ADGRG4"	1
"ADGRG5"	32
"ADGRG6"	178
"ADGRG7"	1
"ADGRL1"	6136
"ADGRL2"	4632
"ADGRL3"	13083
"ADGRL3-AS1"	0
"ADGRL4"	114
"ADGRV1"	19292
"ADH1A"	0
"ADH1B"	49
"ADH1C"	0
"ADH4"	0
"ADH5"	2653
"ADH6"	1
"ADH7"	0
"ADHFE1"	609
"ADI1"	1135
"ADIG"	2
"ADIPOQ"	2
"ADIPOQ-AS1"	2
"ADIPOR1"	1856
"ADIPOR2"	2017
"ADIRF"	710
"ADK"	683
"ADM"	40
"ADM2"	2
"ADM5"	20
"ADNP"	3888
"ADNP-AS1"	23
"ADNP2"	1297
"ADO"	1232
"ADORA1"	1203
"ADORA2A"	51
"ADORA2A-AS1"	3
"ADORA2B"	151
"ADORA3"	127
"ADPGK"	804
"ADPGK-AS1"	9
"ADPRH"	67
"ADPRHL1"	205
"ADPRHL2"	455
"ADPRM"	265
"ADRA1A"	890
"ADRA1B"	274
"ADRA1D"	41
"ADRA2A"	173
"ADRA2B"	24
"ADRA2C"	122
"ADRB1"	477
"ADRB2"	108
"ADRB3"	10
"ADRM1"	1060
"ADSL"	769
"ADSS"	2021
"ADSSL1"	83
"ADTRP"	184
"AEBP1"	348
"AEBP2"	1709
"AEN"	245
"AES"	6245
"AFAP1"	1704
"AFAP1-AS1"	35
"AFAP1L1"	105
"AFAP1L2"	1038
"AFDN"	5425
"AFDN-DT"	25
"AFF1"	2337
"AFF1-AS1"	75
"AFF2"	2146
"AFF3"	3158
"AFF4"	8827
"AFG1L"	498
"AFG3L1P"	430
"AFG3L2"	2737
"AFM"	0
"AFMID"	437
"AFP"	7
"AFTPH"	2503
"AGA"	330
"AGAP1"	8415
"AGAP1-IT1"	51
"AGAP11"	134
"AGAP12P"	109
"AGAP2"	7987
"AGAP2-AS1"	10
"AGAP3"	3340
"AGAP4"	329
"AGAP5"	155
"AGAP6"	370
"AGAP7P"	28
"AGAP9"	81
"AGBL1"	92
"AGBL1-AS1"	1
"AGBL2"	38
"AGBL3"	145
"AGBL4"	862
"AGBL4-IT1"	58
"AGBL5"	417
"AGBL5-AS1"	0
"AGER"	18
"AGFG1"	4048
"AGFG2"	768
"AGGF1"	2539
"AGK"	1498
"AGL"	3073
"AGMAT"	124
"AGMO"	38
"AGO1"	2869
"AGO2"	3402
"AGO3"	1209
"AGO4"	1771
"AGPAT1"	1403
"AGPAT2"	170
"AGPAT3"	4545
"AGPAT4"	3139
"AGPAT4-IT1"	187
"AGPAT5"	2035
"AGPS"	2301
"AGR2"	2
"AGR3"	0
"AGRN"	1801
"AGRP"	2
"AGT"	4435
"AGTPBP1"	7991
"AGTR1"	9
"AGTR2"	2
"AGTRAP"	175
"AGXT"	0
