gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-21_S6.bam
"A1BG"	70
"A1BG-AS1"	217
"A1CF"	0
"A2M"	2362
"A2M-AS1"	53
"A2ML1"	148
"A2MP1"	3
"A3GALT2"	4
"A4GALT"	52
"A4GNT"	0
"AA06"	62
"AAAS"	370
"AACS"	1706
"AACSP1"	24
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	3
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	414
"AAED1"	80
"AAGAB"	1721
"AAK1"	11742
"AAMDC"	74
"AAMP"	1674
"AANAT"	4
"AAR2"	320
"AARD"	25
"AARS"	7725
"AARS2"	948
"AARSD1"	422
"AASDH"	548
"AASDHPPT"	2035
"AASS"	1223
"AATBC"	2
"AATF"	839
"AATK"	3676
"ABALON"	5
"ABAT"	10191
"ABCA1"	847
"ABCA10"	678
"ABCA11P"	365
"ABCA12"	18
"ABCA13"	6
"ABCA17P"	132
"ABCA2"	12293
"ABCA3"	7275
"ABCA4"	62
"ABCA5"	2601
"ABCA6"	541
"ABCA7"	663
"ABCA8"	784
"ABCA9"	703
"ABCA9-AS1"	2
"ABCB1"	389
"ABCB10"	361
"ABCB11"	3
"ABCB4"	18
"ABCB5"	0
"ABCB6"	866
"ABCB7"	430
"ABCB8"	956
"ABCB9"	851
"ABCC1"	680
"ABCC10"	564
"ABCC11"	40
"ABCC12"	179
"ABCC13"	1
"ABCC2"	19
"ABCC3"	45
"ABCC4"	300
"ABCC5"	3514
"ABCC5-AS1"	0
"ABCC6"	20
"ABCC6P1"	16
"ABCC6P2"	2
"ABCC8"	2261
"ABCC9"	874
"ABCD1"	116
"ABCD2"	924
"ABCD3"	1234
"ABCD4"	623
"ABCE1"	1412
"ABCF1"	1438
"ABCF2"	1588
"ABCF3"	1535
"ABCG1"	805
"ABCG2"	382
"ABCG4"	660
"ABCG5"	12
"ABCG8"	38
"ABHD1"	15
"ABHD10"	987
"ABHD11"	212
"ABHD11-AS1"	0
"ABHD12"	1848
"ABHD12B"	78
"ABHD13"	846
"ABHD14A"	684
"ABHD14A-ACY1"	194
"ABHD14B"	169
"ABHD15"	139
"ABHD16A"	1079
"ABHD16B"	1
"ABHD17A"	2546
"ABHD17B"	517
"ABHD17C"	305
"ABHD18"	553
"ABHD2"	6236
"ABHD3"	109
"ABHD4"	198
"ABHD5"	493
"ABHD6"	792
"ABHD8"	2195
"ABI1"	2440
"ABI2"	9914
"ABI3"	106
"ABI3BP"	134
"ABL1"	1543
"ABL2"	2978
"ABLIM1"	6587
"ABLIM2"	3511
"ABLIM3"	1751
"ABO"	9
"ABR"	16776
"ABRA"	3
"ABRACL"	148
"ABRAXAS1"	59
"ABRAXAS2"	658
"ABT1"	276
"ABTB1"	839
"ABTB2"	135
"ACAA1"	956
"ACAA2"	492
"ACACA"	6405
"ACACB"	1258
"ACAD10"	468
"ACAD11"	642
"ACAD8"	603
"ACAD9"	1094
"ACADL"	48
"ACADM"	1150
"ACADS"	175
"ACADSB"	1750
"ACADVL"	4488
"ACAN"	106
"ACAP1"	21
"ACAP2"	2193
"ACAP3"	3889
"ACAT1"	1029
"ACAT2"	810
"ACBD3"	1153
"ACBD3-AS1"	0
"ACBD4"	418
"ACBD5"	1808
"ACBD6"	768
"ACBD7"	3019
"ACBD7-DCLRE1CP1"	81
"ACCS"	125
"ACCSL"	6
"ACD"	369
"ACE"	203
"ACE2"	10
"ACER1"	2
"ACER2"	200
"ACER3"	1285
"ACHE"	441
"ACIN1"	2785
"ACKR1"	254
"ACKR2"	20
"ACKR3"	114
"ACKR4"	3
"ACLY"	3642
"ACMSD"	0
"ACO1"	715
"ACO2"	9663
"ACOD1"	0
"ACOT1"	42
"ACOT11"	439
"ACOT12"	7
"ACOT13"	676
"ACOT2"	249
"ACOT4"	73
"ACOT6"	2
"ACOT7"	2570
"ACOT8"	456
"ACOT9"	691
"ACOX1"	3272
"ACOX2"	50
"ACOX3"	575
"ACOXL"	0
"ACOXL-AS1"	28
"ACP1"	1366
"ACP2"	760
"ACP4"	0
"ACP5"	9
"ACP6"	247
"ACP7"	42
"ACPP"	3
"ACR"	11
"ACRBP"	8
"ACRV1"	28
"ACSBG1"	2174
"ACSBG2"	2
"ACSF2"	215
"ACSF3"	384
"ACSL1"	1196
"ACSL3"	7497
"ACSL4"	2943
"ACSL5"	359
"ACSL6"	6356
"ACSM1"	11
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	3
"ACSM4"	0
"ACSM5"	21
"ACSM6"	0
"ACSS1"	1342
"ACSS2"	743
"ACSS3"	634
"ACTA1"	32
"ACTA2"	740
"ACTA2-AS1"	281
"ACTB"	36800
"ACTBL2"	0
"ACTC1"	30
"ACTG1"	17183
"ACTG1P17"	12
"ACTG1P20"	69
"ACTG1P4"	274
"ACTG2"	90
"ACTL10"	2
"ACTL6A"	62
"ACTL6B"	1077
"ACTL7A"	0
"ACTL7B"	4
"ACTL8"	0
"ACTL9"	0
"ACTN1"	4457
"ACTN1-AS1"	1
"ACTN2"	2201
"ACTN3"	6
"ACTN4"	5184
"ACTR10"	1129
"ACTR1A"	4986
"ACTR1B"	2727
"ACTR2"	5381
"ACTR3"	2209
"ACTR3B"	912
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	320
"ACTR5"	201
"ACTR6"	470
"ACTR8"	944
"ACTRT1"	3
"ACTRT2"	0
"ACTRT3"	46
"ACVR1"	351
"ACVR1B"	2215
"ACVR1C"	623
"ACVR2A"	1201
"ACVR2B"	1393
"ACVR2B-AS1"	39
"ACVRL1"	322
"ACY1"	64
"ACY3"	14
"ACYP1"	225
