gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-23_S5.bam
"A1BG"	43
"A1BG-AS1"	136
"A1CF"	0
"A2M"	4536
"A2M-AS1"	149
"A2ML1"	130
"A2MP1"	2
"A3GALT2"	0
"A4GALT"	69
"A4GNT"	1
"AA06"	55
"AAAS"	413
"AACS"	1451
"AACSP1"	15
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	404
"AAED1"	93
"AAGAB"	1728
"AAK1"	13368
"AAMDC"	75
"AAMP"	1609
"AANAT"	2
"AAR2"	352
"AARD"	4
"AARS"	7868
"AARS2"	692
"AARSD1"	258
"AASDH"	907
"AASDHPPT"	3819
"AASS"	1128
"AATBC"	2
"AATF"	647
"AATK"	2300
"ABALON"	5
"ABAT"	10179
"ABCA1"	1322
"ABCA10"	849
"ABCA11P"	336
"ABCA12"	19
"ABCA13"	7
"ABCA17P"	136
"ABCA2"	9066
"ABCA3"	4079
"ABCA4"	38
"ABCA5"	4156
"ABCA6"	709
"ABCA7"	285
"ABCA8"	1233
"ABCA9"	860
"ABCA9-AS1"	3
"ABCB1"	1039
"ABCB10"	491
"ABCB11"	2
"ABCB4"	9
"ABCB5"	0
"ABCB6"	654
"ABCB7"	602
"ABCB8"	647
"ABCB9"	633
"ABCC1"	570
"ABCC10"	345
"ABCC11"	32
"ABCC12"	90
"ABCC13"	1
"ABCC2"	19
"ABCC3"	24
"ABCC4"	487
"ABCC5"	3723
"ABCC5-AS1"	0
"ABCC6"	24
"ABCC6P1"	15
"ABCC6P2"	1
"ABCC8"	1292
"ABCC9"	1440
"ABCD1"	44
"ABCD2"	1261
"ABCD3"	1727
"ABCD4"	504
"ABCE1"	2165
"ABCF1"	1102
"ABCF2"	1846
"ABCF3"	1168
"ABCG1"	854
"ABCG2"	656
"ABCG4"	448
"ABCG5"	12
"ABCG8"	37
"ABHD1"	15
"ABHD10"	1239
"ABHD11"	157
"ABHD11-AS1"	0
"ABHD12"	1775
"ABHD12B"	129
"ABHD13"	1147
"ABHD14A"	447
"ABHD14A-ACY1"	168
"ABHD14B"	165
"ABHD15"	76
"ABHD16A"	956
"ABHD16B"	0
"ABHD17A"	1263
"ABHD17B"	1014
"ABHD17C"	450
"ABHD18"	530
"ABHD2"	6721
"ABHD3"	205
"ABHD4"	238
"ABHD5"	761
"ABHD6"	1017
"ABHD8"	1309
"ABI1"	2507
"ABI2"	9978
"ABI3"	75
"ABI3BP"	92
"ABL1"	1173
"ABL2"	3547
"ABLIM1"	7401
"ABLIM2"	2396
"ABLIM3"	1049
"ABO"	10
"ABR"	10541
"ABRA"	6
"ABRACL"	156
"ABRAXAS1"	93
"ABRAXAS2"	772
"ABT1"	258
"ABTB1"	655
"ABTB2"	174
"ACAA1"	797
"ACAA2"	740
"ACACA"	6567
"ACACB"	759
"ACAD10"	408
"ACAD11"	677
