gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-36_S8.bam
"A1BG"	38
"A1BG-AS1"	180
"A1CF"	0
"A2M"	3276
"A2M-AS1"	78
"A2ML1"	94
"A2MP1"	1
"A3GALT2"	0
"A4GALT"	62
"A4GNT"	1
"AA06"	47
"AAAS"	385
"AACS"	1114
"AACSP1"	31
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	1
"AADAT"	245
"AAED1"	52
"AAGAB"	1121
"AAK1"	8448
"AAMDC"	70
"AAMP"	1233
"AANAT"	2
"AAR2"	261
"AARD"	13
"AARS"	4439
"AARS2"	654
"AARSD1"	194
"AASDH"	622
"AASDHPPT"	2161
"AASS"	1355
"AATBC"	1
"AATF"	350
"AATK"	3233
"ABALON"	1
"ABAT"	7058
"ABCA1"	1352
"ABCA10"	565
"ABCA11P"	279
"ABCA12"	30
"ABCA13"	3
"ABCA17P"	85
"ABCA2"	16213
"ABCA3"	3874
"ABCA4"	26
"ABCA5"	3118
"ABCA6"	928
"ABCA7"	250
"ABCA8"	1733
"ABCA9"	725
"ABCA9-AS1"	2
"ABCB1"	658
"ABCB10"	352
"ABCB11"	5
"ABCB4"	14
"ABCB5"	0
"ABCB6"	607
"ABCB7"	343
"ABCB8"	740
"ABCB9"	551
"ABCC1"	458
"ABCC10"	451
"ABCC11"	42
"ABCC12"	45
"ABCC13"	0
"ABCC2"	25
"ABCC3"	41
"ABCC4"	365
"ABCC5"	2570
"ABCC5-AS1"	0
"ABCC6"	19
"ABCC6P1"	5
"ABCC6P2"	1
"ABCC8"	1692
"ABCC9"	955
"ABCD1"	64
"ABCD2"	537
"ABCD3"	1138
"ABCD4"	504
"ABCE1"	1208
"ABCF1"	672
"ABCF2"	1441
"ABCF3"	740
"ABCG1"	1055
"ABCG2"	570
"ABCG4"	266
"ABCG5"	8
"ABCG8"	33
"ABHD1"	13
"ABHD10"	823
"ABHD11"	108
"ABHD11-AS1"	0
"ABHD12"	1128
"ABHD12B"	62
"ABHD13"	510
"ABHD14A"	366
"ABHD14A-ACY1"	118
"ABHD14B"	167
"ABHD15"	86
"ABHD16A"	769
"ABHD16B"	3
"ABHD17A"	1136
"ABHD17B"	799
"ABHD17C"	254
"ABHD18"	468
"ABHD2"	5295
"ABHD3"	113
"ABHD4"	235
"ABHD5"	528
"ABHD6"	726
"ABHD8"	808
"ABI1"	1739
"ABI2"	7105
"ABI3"	82
"ABI3BP"	127
"ABL1"	1086
"ABL2"	2348
"ABLIM1"	5488
"ABLIM2"	1428
"ABLIM3"	800
"ABO"	16
"ABR"	9146
"ABRA"	6
"ABRACL"	80
"ABRAXAS1"	64
"ABRAXAS2"	478
"ABT1"	192
"ABTB1"	424
"ABTB2"	132
"ACAA1"	555
"ACAA2"	540
"ACACA"	4273
"ACACB"	1169
"ACAD10"	360
"ACAD11"	596
"ACAD8"	532
"ACAD9"	859
"ACADL"	66
"ACADM"	715
"ACADS"	227
"ACADSB"	1284
"ACADVL"	2481
"ACAN"	102
"ACAP1"	20
"ACAP2"	1703
"ACAP3"	1938
"ACAT1"	851
"ACAT2"	641
"ACBD3"	691
"ACBD3-AS1"	0
"ACBD4"	255
"ACBD5"	1395
"ACBD6"	490
"ACBD7"	1273
"ACBD7-DCLRE1CP1"	35
"ACCS"	127
"ACCSL"	0
"ACD"	192
"ACE"	130
"ACE2"	4
"ACER1"	0
"ACER2"	179
"ACER3"	1243
"ACHE"	239
"ACIN1"	1704
"ACKR1"	100
"ACKR2"	29
"ACKR3"	90
"ACKR4"	1
"ACLY"	2185
"ACMSD"	0
"ACO1"	978
"ACO2"	4440
"ACOD1"	0
"ACOT1"	30
"ACOT11"	402
"ACOT12"	21
"ACOT13"	375
"ACOT2"	172
"ACOT4"	64
"ACOT6"	2
"ACOT7"	1367
"ACOT8"	385
"ACOT9"	521
"ACOX1"	2628
"ACOX2"	56
"ACOX3"	586
"ACOXL"	0
"ACOXL-AS1"	22
"ACP1"	1307
"ACP2"	609
"ACP4"	0
"ACP5"	5
"ACP6"	248
"ACP7"	30
"ACPP"	23
"ACR"	1
"ACRBP"	9
"ACRV1"	8
"ACSBG1"	1030
"ACSBG2"	2
"ACSF2"	139
"ACSF3"	304
"ACSL1"	1208
"ACSL3"	5251
"ACSL4"	2349
"ACSL5"	339
"ACSL6"	3624
"ACSM1"	5
"ACSM2A"	1
"ACSM2B"	0
"ACSM3"	1
"ACSM4"	0
"ACSM5"	99
"ACSM6"	0
"ACSS1"	800
"ACSS2"	717
"ACSS3"	421
"ACTA1"	8
"ACTA2"	456
"ACTA2-AS1"	167
"ACTB"	29442
"ACTBL2"	0
"ACTC1"	32
"ACTG1"	11500
"ACTG1P17"	20
"ACTG1P20"	84
"ACTG1P4"	204
"ACTG2"	17
"ACTL10"	1
"ACTL6A"	101
"ACTL6B"	639
"ACTL7A"	0
"ACTL7B"	2
"ACTL8"	5
"ACTL9"	0
"ACTN1"	2306
"ACTN1-AS1"	0
"ACTN2"	1452
"ACTN3"	1
"ACTN4"	2695
"ACTR10"	998
"ACTR1A"	3320
"ACTR1B"	1773
"ACTR2"	3233
"ACTR3"	1657
"ACTR3B"	599
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	265
"ACTR5"	220
"ACTR6"	505
"ACTR8"	760
"ACTRT1"	2
"ACTRT2"	0
"ACTRT3"	32
"ACVR1"	279
"ACVR1B"	1393
"ACVR1C"	618
"ACVR2A"	916
"ACVR2B"	1229
"ACVR2B-AS1"	22
"ACVRL1"	457
"ACY1"	56
"ACY3"	1
"ACYP1"	99
"ACYP2"	491
"ADA"	42
"ADA2"	182
"ADAD1"	0
"ADAD2"	20
"ADAL"	385
"ADAM10"	2097
"ADAM11"	1617
"ADAM12"	131
"ADAM15"	818
"ADAM17"	849
"ADAM18"	0
"ADAM19"	308
"ADAM1A"	207
"ADAM2"	1
"ADAM20"	240
"ADAM20P1"	283
"ADAM21"	7
"ADAM21P1"	3
"ADAM22"	5780
"ADAM23"	2585
"ADAM28"	251
"ADAM29"	3
"ADAM30"	0
"ADAM32"	204
"ADAM33"	105
"ADAM3A"	0
"ADAM3B"	1
"ADAM5"	7
"ADAM6"	0
"ADAM7"	0
"ADAM8"	48
"ADAM9"	1207
"ADAMDEC1"	0
"ADAMTS1"	504
"ADAMTS10"	590
"ADAMTS12"	18
"ADAMTS13"	203
"ADAMTS14"	325
"ADAMTS15"	13
"ADAMTS16"	185
"ADAMTS17"	188
"ADAMTS18"	13
"ADAMTS19"	204
"ADAMTS19-AS1"	9
"ADAMTS2"	134
"ADAMTS20"	12
"ADAMTS3"	294
"ADAMTS4"	777
"ADAMTS5"	61
"ADAMTS6"	98
"ADAMTS7"	17
"ADAMTS7P1"	73
"ADAMTS8"	307
"ADAMTS9"	506
"ADAMTS9-AS1"	23
"ADAMTS9-AS2"	125
"ADAMTSL1"	81
"ADAMTSL2"	383
"ADAMTSL3"	356
"ADAMTSL4"	27
"ADAMTSL4-AS1"	42
"ADAMTSL5"	6
"ADAP1"	1519
"ADAP2"	137
"ADAR"	7811
"ADARB1"	1611
"ADARB2"	1586
"ADARB2-AS1"	2
"ADAT1"	679
"ADAT2"	204
"ADAT3"	19
"ADCK1"	194
"ADCK2"	540
"ADCK5"	147
"ADCY1"	12245
"ADCY10"	34
"ADCY10P1"	232
"ADCY2"	4593
"ADCY3"	1506
"ADCY4"	100
"ADCY5"	1988
"ADCY6"	1080
"ADCY7"	484
"ADCY8"	728
"ADCY9"	1127
"ADCYAP1"	651
"ADCYAP1R1"	4485
"ADD1"	7733
"ADD2"	4156
"ADD3"	6406
"ADD3-AS1"	54
"ADGB"	8
"ADGRA1"	613
"ADGRA1-AS1"	25
"ADGRA2"	268
"ADGRA3"	1004
"ADGRB1"	1178
"ADGRB2"	4413
"ADGRB3"	6173
"ADGRD1"	157
"ADGRD1-AS1"	0
"ADGRE1"	8
"ADGRE2"	71
"ADGRE3"	0
"ADGRE4P"	21
"ADGRE5"	120
"ADGRF1"	0
"ADGRF2"	8
"ADGRF3"	23
"ADGRF4"	9
"ADGRF5"	1241
"ADGRG1"	1610
"ADGRG2"	3
"ADGRG3"	11
"ADGRG4"	2
"ADGRG5"	13
"ADGRG6"	153
"ADGRG7"	1
"ADGRL1"	4659
"ADGRL2"	3750
"ADGRL3"	7023
"ADGRL3-AS1"	0
"ADGRL4"	116
"ADGRV1"	8949
"ADH1A"	0
"ADH1B"	61
"ADH1C"	3
"ADH4"	0
"ADH5"	1341
"ADH6"	0
"ADH7"	0
"ADHFE1"	355
"ADI1"	733
"ADIG"	3
"ADIPOQ"	0
"ADIPOQ-AS1"	2
"ADIPOR1"	1277
"ADIPOR2"	2487
"ADIRF"	490
"ADK"	430
"ADM"	90
"ADM2"	0
"ADM5"	13
"ADNP"	2804
"ADNP-AS1"	6
"ADNP2"	905
"ADO"	908
"ADORA1"	663
"ADORA2A"	35
"ADORA2A-AS1"	0
"ADORA2B"	98
"ADORA3"	86
"ADPGK"	482
"ADPGK-AS1"	6
"ADPRH"	48
"ADPRHL1"	156
"ADPRHL2"	314
"ADPRM"	117
"ADRA1A"	760
"ADRA1B"	163
"ADRA1D"	41
"ADRA2A"	120
"ADRA2B"	16
"ADRA2C"	63
"ADRB1"	272
"ADRB2"	56
"ADRB3"	6
"ADRM1"	655
"ADSL"	402
"ADSS"	950
"ADSSL1"	94
"ADTRP"	71
"AEBP1"	639
"AEBP2"	1102
"AEN"	184
"AES"	3466
"AFAP1"	1312
"AFAP1-AS1"	43
"AFAP1L1"	128
"AFAP1L2"	496
"AFDN"	3604
"AFDN-DT"	18
"AFF1"	1835
"AFF1-AS1"	64
"AFF2"	1084
"AFF3"	1701
"AFF4"	5249
"AFG1L"	278
"AFG3L1P"	304
"AFG3L2"	1558
"AFM"	0
"AFMID"	451
"AFP"	6
"AFTPH"	1533
"AGA"	199
"AGAP1"	6155
"AGAP1-IT1"	23
"AGAP11"	60
"AGAP12P"	27
"AGAP2"	5251
"AGAP2-AS1"	4
"AGAP3"	1779
"AGAP4"	298
"AGAP5"	90
"AGAP6"	240
"AGAP7P"	16
"AGAP9"	126
"AGBL1"	28
"AGBL1-AS1"	0
"AGBL2"	9
"AGBL3"	116
"AGBL4"	604
"AGBL4-IT1"	37
"AGBL5"	241
"AGBL5-AS1"	3
"AGER"	23
"AGFG1"	2736
"AGFG2"	615
"AGGF1"	1464
"AGK"	1001
"AGL"	1572
"AGMAT"	38
"AGMO"	14
"AGO1"	1938
"AGO2"	2854
"AGO3"	928
"AGO4"	1179
"AGPAT1"	1008
"AGPAT2"	101
"AGPAT3"	2824
"AGPAT4"	2657
"AGPAT4-IT1"	279
"AGPAT5"	999
"AGPS"	1286
"AGR2"	0
"AGR3"	0
"AGRN"	1064
"AGRP"	6
"AGT"	2986
"AGTPBP1"	4874
"AGTR1"	3
"AGTR2"	0
"AGTRAP"	136
"AGXT"	0
"AGXT2"	0
"AHCTF1"	2303
"AHCTF1P1"	9
"AHCY"	740
"AHCYL1"	10300
"AHCYL2"	1911
"AHDC1"	898
"AHI1"	3680
"AHNAK"	18758
"AHNAK2"	3017
"AHR"	812
"AHRR"	133
"AHSA1"	1304
"AHSA2P"	1268
"AHSG"	4
"AHSP"	3
"AICDA"	0
"AIDA"	1164
"AIF1"	113
"AIF1L"	1589
"AIFM1"	311
"AIFM2"	233
"AIFM3"	678
"AIG1"	779
"AIM2"	3
"AIMP1"	467
"AIMP2"	176
"AIP"	432
"AIPL1"	0
"AIRE"	17
"AIRN"	2
"AJAP1"	1083
"AJM1"	145
"AJUBA"	31
"AK1"	642
"AK2"	1238
"AK3"	1048
"AK4"	1991
"AK5"	8654
"AK6"	211
"AK7"	45
"AK8"	72
"AK9"	418
"AKAIN1"	22
"AKAP1"	1455
"AKAP10"	1506
"AKAP11"	12858
"AKAP12"	6804
"AKAP13"	2261
"AKAP14"	8
"AKAP17A"	240
"AKAP2"	806
"AKAP3"	58
"AKAP4"	0
"AKAP5"	1653
"AKAP6"	10364
"AKAP7"	458
"AKAP8"	533
"AKAP8L"	1107
"AKAP9"	6166
"AKIP1"	200
"AKIRIN1"	1335
"AKIRIN2"	450
"AKNA"	563
"AKNAD1"	1
"AKR1A1"	425
"AKR1B1"	679
"AKR1B10"	0
"AKR1B15"	0
"AKR1C1"	129
"AKR1C2"	56
"AKR1C3"	113
"AKR1C4"	0
"AKR1C6P"	0
"AKR1C8P"	0
"AKR1D1"	0
"AKR1E2"	184
"AKR7A2"	654
"AKR7A2P1"	7
"AKR7A3"	46
"AKR7L"	39
"AKT1"	1316
"AKT1S1"	123
"AKT2"	1148
"AKT3"	9310
"AKTIP"	1213
"ALAD"	1221
"ALAS1"	915
"ALAS2"	54
"ALB"	34
"ALCAM"	3019
"ALDH16A1"	122
"ALDH18A1"	590
"ALDH1A1"	848
"ALDH1A2"	112
"ALDH1A3"	85
"ALDH1B1"	176
"ALDH1L1"	1562
"ALDH1L1-AS1"	2
"ALDH1L1-AS2"	38
"ALDH1L2"	372
"ALDH2"	2376
"ALDH3A1"	7
"ALDH3A2"	1857
"ALDH3B1"	43
"ALDH3B2"	0
"ALDH4A1"	790
"ALDH5A1"	2322
"ALDH6A1"	3887
"ALDH7A1"	1609
"ALDH8A1"	221
"ALDH9A1"	1053
"ALDOA"	15076
"ALDOB"	7
"ALDOC"	11075
"ALG1"	268
"ALG10"	113
"ALG10B"	415
"ALG11"	271
"ALG12"	303
"ALG13"	760
"ALG14"	139
"ALG1L"	38
"ALG1L2"	21
"ALG1L9P"	200
"ALG2"	340
"ALG3"	118
"ALG5"	202
"ALG6"	193
"ALG8"	314
"ALG9"	806
"ALK"	208
"ALKAL1"	5
"ALKAL2"	17
"ALKBH1"	173
"ALKBH2"	97
"ALKBH3"	440
"ALKBH3-AS1"	0
"ALKBH4"	275
"ALKBH5"	2109
"ALKBH6"	160
"ALKBH7"	157
"ALKBH8"	334
"ALLC"	3
"ALMS1"	4071
"ALMS1-IT1"	47
"ALMS1P1"	63
"ALOX12"	2
"ALOX12-AS1"	49
"ALOX12B"	15
"ALOX12P2"	84
"ALOX15"	4
"ALOX15B"	31
"ALOX15P1"	11
"ALOX5"	231
"ALOX5AP"	102
"ALOXE3"	26
"ALPI"	0
"ALPK1"	166
"ALPK2"	16
"ALPK3"	255
"ALPL"	122
"ALPP"	0
"ALPPL2"	0
"ALS2"	2418
"ALS2CL"	519
"ALS2CR12"	167
"ALX1"	2
"ALX3"	8
"ALX4"	5
"ALYREF"	267
"AMACR"	185
"AMBN"	0
"AMBP"	0
"AMBRA1"	1272
"AMD1"	3079
"AMDHD1"	3
"AMDHD2"	275
"AMELX"	0
"AMELY"	0
"AMER1"	387
"AMER2"	8211
"AMER3"	1179
"AMFR"	3204
"AMH"	12
"AMHR2"	0
"AMIGO1"	1767
"AMIGO2"	232
"AMIGO3"	46
"AMMECR1"	230
"AMMECR1L"	445
"AMN"	4
"AMN1"	885
"AMOT"	2099
"AMOTL1"	1197
"AMOTL2"	1559
"AMPD1"	0
"AMPD2"	1954
"AMPD3"	547
"AMPH"	3463
"AMT"	156
"AMTN"	0
"AMY1A"	0
"AMY1B"	0
"AMY1C"	0
"AMY2A"	41
"AMY2B"	1052
