gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-38_S4.bam
"A1BG"	48
"A1BG-AS1"	178
"A1CF"	0
"A2M"	4884
"A2M-AS1"	160
"A2ML1"	205
"A2MP1"	2
"A3GALT2"	0
"A4GALT"	35
"A4GNT"	0
"AA06"	35
"AAAS"	563
"AACS"	1206
"AACSP1"	19
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	316
"AAED1"	73
"AAGAB"	1143
"AAK1"	8938
"AAMDC"	96
"AAMP"	1504
"AANAT"	2
"AAR2"	319
"AARD"	12
"AARS"	6683
"AARS2"	748
"AARSD1"	175
"AASDH"	755
"AASDHPPT"	1952
"AASS"	1470
"AATBC"	5
"AATF"	732
"AATK"	4968
"ABALON"	5
"ABAT"	7986
"ABCA1"	2225
"ABCA10"	411
"ABCA11P"	211
"ABCA12"	16
"ABCA13"	6
"ABCA17P"	124
"ABCA2"	27750
"ABCA3"	4122
"ABCA4"	13
"ABCA5"	2171
"ABCA6"	731
"ABCA7"	505
"ABCA8"	4082
"ABCA9"	472
"ABCA9-AS1"	4
"ABCB1"	497
"ABCB10"	382
"ABCB11"	17
"ABCB4"	14
"ABCB5"	0
"ABCB6"	839
"ABCB7"	505
"ABCB8"	834
"ABCB9"	510
"ABCC1"	573
"ABCC10"	500
"ABCC11"	28
"ABCC12"	76
"ABCC13"	0
"ABCC2"	81
"ABCC3"	43
"ABCC4"	419
"ABCC5"	3482
"ABCC5-AS1"	0
"ABCC6"	17
"ABCC6P1"	7
"ABCC6P2"	5
"ABCC8"	1367
"ABCC9"	1077
"ABCD1"	113
"ABCD2"	547
"ABCD3"	1222
"ABCD4"	709
"ABCE1"	1299
"ABCF1"	958
"ABCF2"	1431
"ABCF3"	1211
"ABCG1"	1188
"ABCG2"	392
"ABCG4"	257
"ABCG5"	9
"ABCG8"	27
"ABHD1"	12
"ABHD10"	964
"ABHD11"	108
"ABHD11-AS1"	0
"ABHD12"	1377
"ABHD12B"	52
"ABHD13"	681
"ABHD14A"	439
"ABHD14A-ACY1"	139
"ABHD14B"	173
"ABHD15"	135
"ABHD16A"	908
"ABHD16B"	1
"ABHD17A"	1490
"ABHD17B"	1202
"ABHD17C"	278
"ABHD18"	411
"ABHD2"	5190
"ABHD3"	178
"ABHD4"	339
"ABHD5"	929
"ABHD6"	1246
"ABHD8"	1043
"ABI1"	1578
"ABI2"	6560
"ABI3"	159
"ABI3BP"	165
"ABL1"	1906
"ABL2"	2982
"ABLIM1"	6267
"ABLIM2"	1539
"ABLIM3"	911
"ABO"	10
"ABR"	9261
"ABRA"	1
"ABRACL"	133
"ABRAXAS1"	86
"ABRAXAS2"	551
"ABT1"	247
"ABTB1"	516
"ABTB2"	247
"ACAA1"	760
"ACAA2"	551
"ACACA"	6282
"ACACB"	1572
"ACAD10"	474
"ACAD11"	873
"ACAD8"	605
"ACAD9"	890
"ACADL"	28
"ACADM"	984
"ACADS"	254
"ACADSB"	1093
"ACADVL"	3760
"ACAN"	168
"ACAP1"	28
"ACAP2"	2084
"ACAP3"	2304
"ACAT1"	853
"ACAT2"	580
"ACBD3"	968
"ACBD3-AS1"	1
"ACBD4"	253
"ACBD5"	1943
"ACBD6"	548
"ACBD7"	1509
"ACBD7-DCLRE1CP1"	53
"ACCS"	133
"ACCSL"	1
"ACD"	264
"ACE"	147
"ACE2"	3
"ACER1"	0
"ACER2"	171
"ACER3"	1973
"ACHE"	277
"ACIN1"	2901
"ACKR1"	166
"ACKR2"	31
"ACKR3"	112
"ACKR4"	4
"ACLY"	2529
"ACMSD"	0
"ACO1"	779
"ACO2"	6918
"ACOD1"	0
"ACOT1"	42
"ACOT11"	513
"ACOT12"	4
"ACOT13"	585
"ACOT2"	181
"ACOT4"	35
"ACOT6"	0
"ACOT7"	1684
"ACOT8"	338
"ACOT9"	560
"ACOX1"	2288
"ACOX2"	41
"ACOX3"	499
"ACOXL"	0
"ACOXL-AS1"	9
"ACP1"	1049
"ACP2"	516
"ACP4"	0
"ACP5"	13
"ACP6"	267
"ACP7"	117
"ACPP"	15
"ACR"	1
"ACRBP"	14
"ACRV1"	10
"ACSBG1"	1437
"ACSBG2"	5
"ACSF2"	159
"ACSF3"	408
"ACSL1"	3299
"ACSL3"	5325
"ACSL4"	2298
"ACSL5"	337
"ACSL6"	3971
"ACSM1"	11
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	5
"ACSM4"	0
"ACSM5"	94
"ACSM6"	0
"ACSS1"	1077
"ACSS2"	1050
"ACSS3"	703
"ACTA1"	14
"ACTA2"	118
"ACTA2-AS1"	219
"ACTB"	35738
"ACTBL2"	0
"ACTC1"	18
"ACTG1"	12283
"ACTG1P17"	10
"ACTG1P20"	75
"ACTG1P4"	206
"ACTG2"	3
"ACTL10"	5
"ACTL6A"	194
"ACTL6B"	590
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	2
"ACTL9"	0
"ACTN1"	2471
"ACTN1-AS1"	1
"ACTN2"	2165
"ACTN3"	2
"ACTN4"	4244
"ACTR10"	921
"ACTR1A"	4065
"ACTR1B"	1720
"ACTR2"	4731
"ACTR3"	2205
"ACTR3B"	553
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	383
"ACTR5"	236
"ACTR6"	485
"ACTR8"	748
"ACTRT1"	2
"ACTRT2"	0
"ACTRT3"	43
"ACVR1"	344
"ACVR1B"	1443
"ACVR1C"	400
"ACVR2A"	875
"ACVR2B"	1306
"ACVR2B-AS1"	18
"ACVRL1"	203
"ACY1"	50
"ACY3"	75
"ACYP1"	198
"ACYP2"	612
"ADA"	66
"ADA2"	179
"ADAD1"	0
"ADAD2"	12
"ADAL"	387
"ADAM10"	3021
"ADAM11"	1863
"ADAM12"	215
"ADAM15"	561
"ADAM17"	919
"ADAM18"	0
"ADAM19"	443
"ADAM1A"	210
"ADAM2"	0
"ADAM20"	268
"ADAM20P1"	252
"ADAM21"	11
"ADAM21P1"	5
"ADAM22"	5537
"ADAM23"	3220
"ADAM28"	332
"ADAM29"	3
"ADAM30"	0
"ADAM32"	230
"ADAM33"	102
"ADAM3A"	0
"ADAM3B"	12
"ADAM5"	5
"ADAM6"	0
"ADAM7"	0
"ADAM8"	89
"ADAM9"	1543
"ADAMDEC1"	0
"ADAMTS1"	1470
"ADAMTS10"	510
"ADAMTS12"	44
"ADAMTS13"	231
"ADAMTS14"	255
"ADAMTS15"	28
"ADAMTS16"	116
"ADAMTS17"	220
"ADAMTS18"	528
"ADAMTS19"	244
"ADAMTS19-AS1"	9
"ADAMTS2"	204
"ADAMTS20"	12
"ADAMTS3"	185
"ADAMTS4"	1147
"ADAMTS5"	32
"ADAMTS6"	76
"ADAMTS7"	32
"ADAMTS7P1"	49
"ADAMTS8"	285
"ADAMTS9"	926
"ADAMTS9-AS1"	1
"ADAMTS9-AS2"	109
"ADAMTSL1"	112
"ADAMTSL2"	532
"ADAMTSL3"	706
"ADAMTSL4"	21
"ADAMTSL4-AS1"	17
"ADAMTSL5"	15
"ADAP1"	2067
"ADAP2"	237
"ADAR"	8947
"ADARB1"	1453
"ADARB2"	1627
"ADARB2-AS1"	39
"ADAT1"	832
"ADAT2"	121
"ADAT3"	43
"ADCK1"	238
"ADCK2"	651
"ADCK5"	123
"ADCY1"	13665
"ADCY10"	74
"ADCY10P1"	458
"ADCY2"	4508
"ADCY3"	1771
"ADCY4"	57
"ADCY5"	2644
"ADCY6"	1068
"ADCY7"	634
"ADCY8"	594
"ADCY9"	1353
"ADCYAP1"	59
"ADCYAP1R1"	3910
"ADD1"	9517
"ADD2"	5288
"ADD3"	8198
"ADD3-AS1"	39
"ADGB"	2
"ADGRA1"	780
"ADGRA1-AS1"	16
"ADGRA2"	189
"ADGRA3"	1549
"ADGRB1"	1170
"ADGRB2"	3667
"ADGRB3"	6318
"ADGRD1"	58
"ADGRD1-AS1"	0
"ADGRE1"	15
"ADGRE2"	145
"ADGRE3"	0
"ADGRE4P"	47
"ADGRE5"	168
"ADGRF1"	0
"ADGRF2"	6
"ADGRF3"	32
"ADGRF4"	7
"ADGRF5"	673
"ADGRG1"	2683
"ADGRG2"	8
"ADGRG3"	3
"ADGRG4"	1
"ADGRG5"	5
"ADGRG6"	62
"ADGRG7"	0
"ADGRL1"	5004
"ADGRL2"	2630
"ADGRL3"	7196
"ADGRL3-AS1"	0
"ADGRL4"	143
"ADGRV1"	7713
"ADH1A"	2
"ADH1B"	75
"ADH1C"	0
"ADH4"	0
"ADH5"	1270
"ADH6"	0
"ADH7"	0
"ADHFE1"	392
"ADI1"	801
"ADIG"	5
"ADIPOQ"	1
"ADIPOQ-AS1"	0
"ADIPOR1"	1631
"ADIPOR2"	4324
"ADIRF"	439
"ADK"	530
"ADM"	86
"ADM2"	2
"ADM5"	15
"ADNP"	3148
"ADNP-AS1"	11
"ADNP2"	962
"ADO"	1049
"ADORA1"	1409
"ADORA2A"	57
"ADORA2A-AS1"	0
"ADORA2B"	101
"ADORA3"	230
"ADPGK"	546
"ADPGK-AS1"	8
"ADPRH"	56
"ADPRHL1"	170
"ADPRHL2"	346
"ADPRM"	133
"ADRA1A"	1004
"ADRA1B"	136
"ADRA1D"	30
"ADRA2A"	226
"ADRA2B"	22
"ADRA2C"	79
"ADRB1"	232
"ADRB2"	172
"ADRB3"	4
"ADRM1"	849
"ADSL"	360
"ADSS"	1377
"ADSSL1"	108
"ADTRP"	126
"AEBP1"	1067
"AEBP2"	1261
"AEN"	264
"AES"	5010
"AFAP1"	1063
"AFAP1-AS1"	57
"AFAP1L1"	100
"AFAP1L2"	621
"AFDN"	4946
"AFDN-DT"	23
"AFF1"	2452
"AFF1-AS1"	81
"AFF2"	1288
"AFF3"	2759
"AFF4"	6241
"AFG1L"	374
"AFG3L1P"	410
"AFG3L2"	1519
"AFM"	0
"AFMID"	728
"AFP"	5
"AFTPH"	1804
"AGA"	200
"AGAP1"	8656
"AGAP1-IT1"	49
"AGAP11"	80
"AGAP12P"	46
"AGAP2"	4923
"AGAP2-AS1"	24
"AGAP3"	2730
"AGAP4"	298
"AGAP5"	156
"AGAP6"	306
"AGAP7P"	18
"AGAP9"	113
"AGBL1"	21
"AGBL1-AS1"	1
"AGBL2"	12
"AGBL3"	98
"AGBL4"	643
"AGBL4-IT1"	35
"AGBL5"	288
"AGBL5-AS1"	0
"AGER"	54
"AGFG1"	2990
"AGFG2"	737
"AGGF1"	1542
"AGK"	878
"AGL"	1319
"AGMAT"	107
"AGMO"	55
"AGO1"	2360
"AGO2"	3654
"AGO3"	1416
"AGO4"	1162
"AGPAT1"	1131
"AGPAT2"	100
"AGPAT3"	3100
"AGPAT4"	3485
"AGPAT4-IT1"	244
"AGPAT5"	961
"AGPS"	1449
"AGR2"	0
"AGR3"	0
"AGRN"	1339
"AGRP"	3
"AGT"	3278
"AGTPBP1"	5395
"AGTR1"	3
"AGTR2"	0
"AGTRAP"	183
"AGXT"	0
"AGXT2"	0
"AHCTF1"	2927
"AHCTF1P1"	12
"AHCY"	1002
"AHCYL1"	8507
"AHCYL2"	2110
"AHDC1"	1110
"AHI1"	3057
"AHNAK"	20832
"AHNAK2"	4262
"AHR"	1058
"AHRR"	106
"AHSA1"	2866
"AHSA2P"	2109
"AHSG"	2
"AHSP"	2
"AICDA"	1
"AIDA"	1663
"AIF1"	183
"AIF1L"	2443
"AIFM1"	434
"AIFM2"	241
"AIFM3"	1123
"AIG1"	873
"AIM2"	10
"AIMP1"	440
"AIMP2"	173
"AIP"	748
"AIPL1"	4
"AIRE"	25
"AIRN"	8
"AJAP1"	1175
"AJM1"	313
"AJUBA"	22
"AK1"	927
"AK2"	1543
"AK3"	1327
"AK4"	1937
"AK5"	9758
"AK6"	265
"AK7"	77
"AK8"	40
"AK9"	631
"AKAIN1"	21
"AKAP1"	1535
"AKAP10"	1576
"AKAP11"	12017
"AKAP12"	9306
"AKAP13"	2827
"AKAP14"	3
"AKAP17A"	337
"AKAP2"	1042
"AKAP3"	65
"AKAP4"	0
"AKAP5"	942
"AKAP6"	12864
"AKAP7"	699
"AKAP8"	774
"AKAP8L"	1699
"AKAP9"	7660
"AKIP1"	214
"AKIRIN1"	1434
"AKIRIN2"	552
"AKNA"	629
"AKNAD1"	10
"AKR1A1"	536
"AKR1B1"	922
"AKR1B10"	0
"AKR1B15"	0
"AKR1C1"	137
"AKR1C2"	122
"AKR1C3"	121
"AKR1C4"	0
"AKR1C6P"	0
"AKR1C8P"	0
"AKR1D1"	0
"AKR1E2"	104
"AKR7A2"	770
"AKR7A2P1"	7
"AKR7A3"	34
"AKR7L"	29
"AKT1"	1555
"AKT1S1"	343
"AKT2"	1564
