gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-5_S1.bam
"A1BG"	16
"A1BG-AS1"	69
"A1CF"	0
"A2M"	2443
"A2M-AS1"	53
"A2ML1"	79
"A2MP1"	0
"A3GALT2"	0
"A4GALT"	23
"A4GNT"	0
"AA06"	44
"AAAS"	191
"AACS"	661
"AACSP1"	13
"AADAC"	1
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	3
"AADAT"	176
"AAED1"	23
"AAGAB"	593
"AAK1"	6134
"AAMDC"	27
"AAMP"	650
"AANAT"	2
"AAR2"	154
"AARD"	11
"AARS"	3462
"AARS2"	340
"AARSD1"	124
"AASDH"	374
"AASDHPPT"	1165
"AASS"	414
"AATBC"	1
"AATF"	222
"AATK"	1116
"ABALON"	0
"ABAT"	4681
"ABCA1"	701
"ABCA10"	363
"ABCA11P"	158
"ABCA12"	14
"ABCA13"	3
"ABCA17P"	29
"ABCA2"	4244
"ABCA3"	2086
"ABCA4"	25
"ABCA5"	1504
"ABCA6"	279
"ABCA7"	198
"ABCA8"	334
"ABCA9"	357
"ABCA9-AS1"	2
"ABCB1"	344
"ABCB10"	207
"ABCB11"	0
"ABCB4"	15
"ABCB5"	0
"ABCB6"	288
"ABCB7"	208
"ABCB8"	378
"ABCB9"	347
"ABCC1"	269
"ABCC10"	241
"ABCC11"	17
"ABCC12"	46
"ABCC13"	0
"ABCC2"	15
"ABCC3"	18
"ABCC4"	127
"ABCC5"	1779
"ABCC5-AS1"	0
"ABCC6"	2
"ABCC6P1"	4
"ABCC6P2"	1
"ABCC8"	925
"ABCC9"	363
"ABCD1"	39
"ABCD2"	488
"ABCD3"	575
"ABCD4"	287
"ABCE1"	585
"ABCF1"	499
"ABCF2"	787
"ABCF3"	588
"ABCG1"	389
"ABCG2"	312
"ABCG4"	239
"ABCG5"	6
"ABCG8"	25
"ABHD1"	7
"ABHD10"	408
"ABHD11"	90
"ABHD11-AS1"	0
"ABHD12"	733
"ABHD12B"	71
"ABHD13"	393
"ABHD14A"	247
"ABHD14A-ACY1"	87
"ABHD14B"	71
"ABHD15"	47
"ABHD16A"	387
"ABHD16B"	0
"ABHD17A"	699
"ABHD17B"	288
"ABHD17C"	155
"ABHD18"	238
"ABHD2"	3152
"ABHD3"	85
"ABHD4"	130
"ABHD5"	319
"ABHD6"	364
"ABHD8"	610
"ABI1"	1113
"ABI2"	4069
"ABI3"	23
"ABI3BP"	48
"ABL1"	651
"ABL2"	1342
"ABLIM1"	3911
"ABLIM2"	1337
"ABLIM3"	528
"ABO"	4
"ABR"	6450
"ABRA"	3
"ABRACL"	55
"ABRAXAS1"	45
"ABRAXAS2"	313
"ABT1"	113
"ABTB1"	374
"ABTB2"	70
"ACAA1"	345
"ACAA2"	295
"ACACA"	3152
"ACACB"	683
"ACAD10"	214
"ACAD11"	274
"ACAD8"	258
"ACAD9"	463
"ACADL"	28
"ACADM"	607
"ACADS"	69
"ACADSB"	749
"ACADVL"	1427
"ACAN"	38
"ACAP1"	4
"ACAP2"	941
"ACAP3"	1319
"ACAT1"	447
"ACAT2"	245
"ACBD3"	533
"ACBD3-AS1"	0
"ACBD4"	132
"ACBD5"	807
"ACBD6"	266
"ACBD7"	1360
"ACBD7-DCLRE1CP1"	48
"ACCS"	68
"ACCSL"	2
"ACD"	137
"ACE"	88
"ACE2"	9
"ACER1"	1
"ACER2"	82
"ACER3"	639
"ACHE"	158
"ACIN1"	1269
"ACKR1"	107
"ACKR2"	9
"ACKR3"	71
"ACKR4"	1
"ACLY"	1180
"ACMSD"	0
"ACO1"	442
"ACO2"	3375
"ACOD1"	0
"ACOT1"	48
"ACOT11"	260
"ACOT12"	0
"ACOT13"	263
"ACOT2"	88
"ACOT4"	29
"ACOT6"	2
"ACOT7"	1042
"ACOT8"	167
"ACOT9"	234
"ACOX1"	1208
"ACOX2"	43
"ACOX3"	282
"ACOXL"	0
"ACOXL-AS1"	3
"ACP1"	558
"ACP2"	288
"ACP4"	0
"ACP5"	1
"ACP6"	102
"ACP7"	9
"ACPP"	5
"ACR"	0
"ACRBP"	3
"ACRV1"	8
"ACSBG1"	813
"ACSBG2"	1
"ACSF2"	89
"ACSF3"	146
"ACSL1"	400
"ACSL3"	3301
"ACSL4"	1067
"ACSL5"	93
"ACSL6"	2703
"ACSM1"	2
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	3
"ACSM4"	0
"ACSM5"	54
"ACSM6"	0
"ACSS1"	897
"ACSS2"	249
"ACSS3"	230
"ACTA1"	7
"ACTA2"	93
"ACTA2-AS1"	134
"ACTB"	16529
"ACTBL2"	0
"ACTC1"	9
"ACTG1"	6076
"ACTG1P17"	4
"ACTG1P20"	46
"ACTG1P4"	108
"ACTG2"	7
"ACTL10"	1
"ACTL6A"	37
"ACTL6B"	422
"ACTL7A"	0
"ACTL7B"	1
"ACTL8"	3
"ACTL9"	0
"ACTN1"	1701
"ACTN1-AS1"	0
"ACTN2"	741
"ACTN3"	0
"ACTN4"	1947
"ACTR10"	514
"ACTR1A"	1690
"ACTR1B"	1105
"ACTR2"	2956
"ACTR3"	992
"ACTR3B"	405
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	216
"ACTR5"	128
"ACTR6"	241
"ACTR8"	482
"ACTRT1"	1
"ACTRT2"	0
"ACTRT3"	14
"ACVR1"	160
"ACVR1B"	862
"ACVR1C"	476
"ACVR2A"	492
"ACVR2B"	609
"ACVR2B-AS1"	12
"ACVRL1"	76
"ACY1"	34
"ACY3"	1
"ACYP1"	127
"ACYP2"	333
