gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-37_S3.bam
"A1BG"	41
"A1BG-AS1"	154
"A1CF"	0
"A2M"	4526
"A2M-AS1"	145
"A2ML1"	257
"A2MP1"	1
"A3GALT2"	2
"A4GALT"	49
"A4GNT"	1
"AA06"	42
"AAAS"	577
"AACS"	1410
"AACSP1"	14
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	2
"AADAT"	284
"AAED1"	84
"AAGAB"	1428
"AAK1"	9187
"AAMDC"	79
"AAMP"	1573
"AANAT"	2
"AAR2"	340
"AARD"	11
"AARS"	6266
"AARS2"	688
"AARSD1"	182
"AASDH"	808
"AASDHPPT"	2231
"AASS"	1296
"AATBC"	1
"AATF"	696
"AATK"	3941
"ABALON"	10
"ABAT"	8707
"ABCA1"	1961
"ABCA10"	441
"ABCA11P"	214
"ABCA12"	16
"ABCA13"	3
"ABCA17P"	112
"ABCA2"	20609
"ABCA3"	4425
"ABCA4"	16
"ABCA5"	2341
"ABCA6"	632
"ABCA7"	444
"ABCA8"	2919
"ABCA9"	524
"ABCA9-AS1"	0
"ABCB1"	518
"ABCB10"	355
"ABCB11"	10
"ABCB4"	22
"ABCB5"	0
"ABCB6"	819
"ABCB7"	536
"ABCB8"	759
"ABCB9"	562
"ABCC1"	472
"ABCC10"	451
"ABCC11"	27
"ABCC12"	65
"ABCC13"	0
"ABCC2"	55
"ABCC3"	47
"ABCC4"	478
"ABCC5"	3647
"ABCC5-AS1"	0
"ABCC6"	19
"ABCC6P1"	3
"ABCC6P2"	4
"ABCC8"	1354
"ABCC9"	1066
"ABCD1"	95
"ABCD2"	682
"ABCD3"	1260
"ABCD4"	553
"ABCE1"	1312
"ABCF1"	876
"ABCF2"	1649
"ABCF3"	1171
"ABCG1"	1120
"ABCG2"	461
"ABCG4"	313
"ABCG5"	17
"ABCG8"	38
"ABHD1"	17
"ABHD10"	965
"ABHD11"	121
"ABHD11-AS1"	0
"ABHD12"	1327
"ABHD12B"	83
"ABHD13"	676
"ABHD14A"	516
"ABHD14A-ACY1"	177
"ABHD14B"	151
"ABHD15"	135
"ABHD16A"	966
"ABHD16B"	0
"ABHD17A"	1616
"ABHD17B"	1059
"ABHD17C"	320
"ABHD18"	449
"ABHD2"	5426
"ABHD3"	181
"ABHD4"	321
"ABHD5"	857
"ABHD6"	1189
"ABHD8"	1223
"ABI1"	1830
"ABI2"	6911
"ABI3"	139
"ABI3BP"	145
"ABL1"	1528
"ABL2"	3182
"ABLIM1"	6546
"ABLIM2"	1801
"ABLIM3"	825
"ABO"	16
"ABR"	9289
"ABRA"	5
"ABRACL"	115
"ABRAXAS1"	66
"ABRAXAS2"	566
"ABT1"	245
"ABTB1"	487
"ABTB2"	185
"ACAA1"	706
"ACAA2"	563
"ACACA"	6289
"ACACB"	1374
"ACAD10"	418
"ACAD11"	764
"ACAD8"	607
"ACAD9"	769
"ACADL"	59
"ACADM"	1120
"ACADS"	214
"ACADSB"	1239
"ACADVL"	3729
"ACAN"	157
"ACAP1"	25
"ACAP2"	2123
"ACAP3"	2067
"ACAT1"	847
"ACAT2"	560
"ACBD3"	913
"ACBD3-AS1"	1
"ACBD4"	270
"ACBD5"	1822
"ACBD6"	529
"ACBD7"	1788
"ACBD7-DCLRE1CP1"	62
"ACCS"	117
"ACCSL"	1
"ACD"	244
"ACE"	123
"ACE2"	2
"ACER1"	0
"ACER2"	218
"ACER3"	1839
"ACHE"	375
"ACIN1"	2576
"ACKR1"	176
"ACKR2"	18
"ACKR3"	163
"ACKR4"	2
"ACLY"	2461
"ACMSD"	0
"ACO1"	770
"ACO2"	7120
"ACOD1"	0
"ACOT1"	46
"ACOT11"	502
"ACOT12"	9
"ACOT13"	651
"ACOT2"	184
"ACOT4"	51
"ACOT6"	0
"ACOT7"	1830
"ACOT8"	392
"ACOT9"	590
"ACOX1"	2508
"ACOX2"	48
"ACOX3"	542
"ACOXL"	1
"ACOXL-AS1"	11
"ACP1"	1193
"ACP2"	570
"ACP4"	0
"ACP5"	15
"ACP6"	290
"ACP7"	107
"ACPP"	30
"ACR"	1
"ACRBP"	17
"ACRV1"	12
"ACSBG1"	1825
"ACSBG2"	3
"ACSF2"	171
"ACSF3"	418
"ACSL1"	2642
"ACSL3"	6141
"ACSL4"	2565
"ACSL5"	355
"ACSL6"	4730
"ACSM1"	13
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	4
"ACSM4"	0
"ACSM5"	113
"ACSM6"	0
"ACSS1"	867
"ACSS2"	963
"ACSS3"	647
"ACTA1"	22
"ACTA2"	150
"ACTA2-AS1"	211
"ACTB"	35695
"ACTBL2"	0
"ACTC1"	28
"ACTG1"	11723
"ACTG1P17"	10
