gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-29_S3.bam
"A1BG"	60
"A1BG-AS1"	183
"A1CF"	0
"A2M"	7880
"A2M-AS1"	143
"A2ML1"	207
"A2MP1"	17
"A3GALT2"	2
"A4GALT"	68
"A4GNT"	0
"AA06"	26
"AAAS"	678
"AACS"	916
"AACSP1"	17
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	1
"AADAT"	451
"AAED1"	112
"AAGAB"	1169
"AAK1"	6978
"AAMDC"	159
"AAMP"	1683
"AANAT"	1
"AAR2"	483
"AARD"	8
"AARS"	7133
"AARS2"	760
"AARSD1"	228
"AASDH"	753
"AASDHPPT"	2279
"AASS"	2865
"AATBC"	2
"AATF"	1383
"AATK"	7549
"ABALON"	2
"ABAT"	6125
"ABCA1"	3251
"ABCA10"	413
"ABCA11P"	310
"ABCA12"	19
"ABCA13"	34
"ABCA17P"	90
"ABCA2"	45176
"ABCA3"	3473
"ABCA4"	27
"ABCA5"	2712
"ABCA6"	1216
"ABCA7"	246
"ABCA8"	5999
"ABCA9"	586
"ABCA9-AS1"	3
"ABCB1"	616
"ABCB10"	469
"ABCB11"	5
"ABCB4"	27
"ABCB5"	0
"ABCB6"	725
"ABCB7"	562
"ABCB8"	1042
"ABCB9"	493
"ABCC1"	635
"ABCC10"	422
"ABCC11"	50
"ABCC12"	51
"ABCC13"	0
"ABCC2"	44
"ABCC3"	81
"ABCC4"	561
"ABCC5"	2422
"ABCC5-AS1"	0
"ABCC6"	25
"ABCC6P1"	8
"ABCC6P2"	1
"ABCC8"	983
"ABCC9"	1148
"ABCD1"	122
"ABCD2"	608
"ABCD3"	1885
"ABCD4"	750
"ABCE1"	1813
"ABCF1"	1232
"ABCF2"	1586
"ABCF3"	1179
"ABCG1"	1068
"ABCG2"	1184
"ABCG4"	249
"ABCG5"	6
"ABCG8"	28
"ABHD1"	29
"ABHD10"	1054
"ABHD11"	170
"ABHD11-AS1"	0
"ABHD12"	1944
"ABHD12B"	88
"ABHD13"	571
"ABHD14A"	307
"ABHD14A-ACY1"	160
"ABHD14B"	239
"ABHD15"	163
"ABHD16A"	1038
"ABHD16B"	0
"ABHD17A"	1433
"ABHD17B"	1848
"ABHD17C"	308
"ABHD18"	527
"ABHD2"	4735
"ABHD3"	186
"ABHD4"	473
"ABHD5"	1061
"ABHD6"	1437
"ABHD8"	547
"ABI1"	1867
"ABI2"	6210
"ABI3"	143
"ABI3BP"	419
"ABL1"	2523
"ABL2"	2697
"ABLIM1"	6897
"ABLIM2"	956
"ABLIM3"	980
"ABO"	11
"ABR"	8383
"ABRA"	2
"ABRACL"	111
"ABRAXAS1"	172
"ABRAXAS2"	504
"ABT1"	286
"ABTB1"	507
"ABTB2"	471
"ACAA1"	1174
"ACAA2"	851
"ACACA"	8920
"ACACB"	1481
"ACAD10"	595
"ACAD11"	1033
"ACAD8"	656
"ACAD9"	941
"ACADL"	57
"ACADM"	1046
"ACADS"	254
"ACADSB"	1430
"ACADVL"	3413
"ACAN"	117
"ACAP1"	27
"ACAP2"	2388
"ACAP3"	2205
"ACAT1"	1121
"ACAT2"	840
"ACBD3"	1180
"ACBD3-AS1"	0
"ACBD4"	243
"ACBD5"	2760
"ACBD6"	576
"ACBD7"	1369
"ACBD7-DCLRE1CP1"	41
"ACCS"	168
"ACCSL"	1
"ACD"	253
"ACE"	98
"ACE2"	17
"ACER1"	0
"ACER2"	127
"ACER3"	2957
"ACHE"	293
"ACIN1"	2849
"ACKR1"	59
"ACKR2"	41
"ACKR3"	172
"ACKR4"	5
"ACLY"	3001
"ACMSD"	0
"ACO1"	977
"ACO2"	7230
"ACOD1"	0
"ACOT1"	72
"ACOT11"	744
"ACOT12"	8
"ACOT13"	566
"ACOT2"	168
"ACOT4"	52
"ACOT6"	3
"ACOT7"	1474
"ACOT8"	431
"ACOT9"	409
"ACOX1"	3039
"ACOX2"	101
"ACOX3"	643
"ACOXL"	0
"ACOXL-AS1"	10
"ACP1"	1260
"ACP2"	752
"ACP4"	0
"ACP5"	68
"ACP6"	319
"ACP7"	127
"ACPP"	26
"ACR"	2
"ACRBP"	18
"ACRV1"	9
"ACSBG1"	1928
"ACSBG2"	3
"ACSF2"	205
"ACSF3"	390
"ACSL1"	4136
"ACSL3"	5400
"ACSL4"	2389
"ACSL5"	177
"ACSL6"	3787
"ACSM1"	8
"ACSM2A"	1
"ACSM2B"	0
"ACSM3"	3
"ACSM4"	0
"ACSM5"	205
"ACSM6"	0
"ACSS1"	1955
"ACSS2"	1531
"ACSS3"	708
"ACTA1"	6
"ACTA2"	202
"ACTA2-AS1"	93
"ACTB"	38612
"ACTBL2"	0
"ACTC1"	22
"ACTG1"	17385
"ACTG1P17"	12
"ACTG1P20"	89
"ACTG1P4"	250
"ACTG2"	3
"ACTL10"	7
"ACTL6A"	313
"ACTL6B"	424
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	1
"ACTL9"	0
"ACTN1"	1620
"ACTN1-AS1"	0
"ACTN2"	2598
"ACTN3"	1
"ACTN4"	4813
"ACTR10"	1352
"ACTR1A"	4254
"ACTR1B"	1874
"ACTR2"	5003
"ACTR3"	2879
"ACTR3B"	568
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	235
"ACTR5"	258
"ACTR6"	828
"ACTR8"	860
"ACTRT1"	2
"ACTRT2"	0
"ACTRT3"	34
"ACVR1"	355
"ACVR1B"	1152
"ACVR1C"	601
"ACVR2A"	854
"ACVR2B"	1448
"ACVR2B-AS1"	20
"ACVRL1"	193
"ACY1"	101
"ACY3"	58
"ACYP1"	198
"ACYP2"	802
"ADA"	136
"ADA2"	486
"ADAD1"	0
"ADAD2"	25
"ADAL"	444
"ADAM10"	4505
"ADAM11"	1207
"ADAM12"	174
"ADAM15"	1449
"ADAM17"	1259
"ADAM18"	0
"ADAM19"	434
"ADAM1A"	273
"ADAM2"	0
"ADAM20"	196
"ADAM20P1"	152
"ADAM21"	11
"ADAM21P1"	2
"ADAM22"	5486
"ADAM23"	2498
"ADAM28"	539
"ADAM29"	1
"ADAM30"	1
"ADAM32"	248
"ADAM33"	80
"ADAM3A"	0
"ADAM3B"	4
"ADAM5"	1
"ADAM6"	0
"ADAM7"	0
"ADAM8"	76
"ADAM9"	1755
"ADAMDEC1"	0
"ADAMTS1"	1427
"ADAMTS10"	311
"ADAMTS12"	56
"ADAMTS13"	256
"ADAMTS14"	667
"ADAMTS15"	40
"ADAMTS16"	75
"ADAMTS17"	189
"ADAMTS18"	8
"ADAMTS19"	207
"ADAMTS19-AS1"	9
"ADAMTS2"	43
"ADAMTS20"	10
"ADAMTS3"	181
"ADAMTS4"	3792
"ADAMTS5"	79
"ADAMTS6"	105
"ADAMTS7"	53
"ADAMTS7P1"	20
"ADAMTS8"	321
"ADAMTS9"	477
"ADAMTS9-AS1"	4
"ADAMTS9-AS2"	111
"ADAMTSL1"	129
"ADAMTSL2"	390
"ADAMTSL3"	959
"ADAMTSL4"	31
"ADAMTSL4-AS1"	13
"ADAMTSL5"	9
"ADAP1"	2209
"ADAP2"	327
"ADAR"	8854
"ADARB1"	911
"ADARB2"	2175
"ADARB2-AS1"	50
"ADAT1"	890
"ADAT2"	200
"ADAT3"	48
"ADCK1"	294
"ADCK2"	678
"ADCK5"	122
"ADCY1"	8666
"ADCY10"	30
"ADCY10P1"	655
"ADCY2"	4206
"ADCY3"	1377
"ADCY4"	38
"ADCY5"	2468
"ADCY6"	1007
"ADCY7"	623
"ADCY8"	914
"ADCY9"	778
"ADCYAP1"	104
"ADCYAP1R1"	4701
"ADD1"	10055
"ADD2"	2776
"ADD3"	10338
"ADD3-AS1"	71
"ADGB"	7
"ADGRA1"	614
"ADGRA1-AS1"	16
"ADGRA2"	199
"ADGRA3"	1970
"ADGRB1"	802
"ADGRB2"	2968
"ADGRB3"	5447
"ADGRD1"	56
"ADGRD1-AS1"	0
"ADGRE1"	5
"ADGRE2"	199
"ADGRE3"	0
"ADGRE4P"	45
"ADGRE5"	324
"ADGRF1"	0
"ADGRF2"	7
"ADGRF3"	20
"ADGRF4"	0
"ADGRF5"	946
"ADGRG1"	2323
"ADGRG2"	5
"ADGRG3"	4
"ADGRG4"	4
"ADGRG5"	10
"ADGRG6"	103
"ADGRG7"	0
"ADGRL1"	3656
"ADGRL2"	1920
"ADGRL3"	5375
"ADGRL3-AS1"	0
"ADGRL4"	127
"ADGRV1"	6239
"ADH1A"	0
"ADH1B"	22
"ADH1C"	1
"ADH4"	1
"ADH5"	1588
"ADH6"	0
"ADH7"	0
"ADHFE1"	568
"ADI1"	1204
"ADIG"	1
"ADIPOQ"	1
"ADIPOQ-AS1"	0
"ADIPOR1"	1680
"ADIPOR2"	5363
"ADIRF"	646
"ADK"	563
"ADM"	199
"ADM2"	2
"ADM5"	13
"ADNP"	3199
"ADNP-AS1"	18
"ADNP2"	1060
"ADO"	1518
"ADORA1"	1696
"ADORA2A"	34
"ADORA2A-AS1"	3
"ADORA2B"	62
"ADORA3"	251
"ADPGK"	667
"ADPGK-AS1"	8
"ADPRH"	98
"ADPRHL1"	105
"ADPRHL2"	474
"ADPRM"	204
"ADRA1A"	923
"ADRA1B"	170
"ADRA1D"	26
"ADRA2A"	170
"ADRA2B"	49
"ADRA2C"	56
"ADRB1"	170
"ADRB2"	152
"ADRB3"	3
"ADRM1"	779
"ADSL"	386
"ADSS"	1910
"ADSSL1"	130
"ADTRP"	95
"AEBP1"	1430
"AEBP2"	1173
"AEN"	204
"AES"	4341
"AFAP1"	938
"AFAP1-AS1"	40
"AFAP1L1"	67
"AFAP1L2"	545
"AFDN"	4871
"AFDN-DT"	39
"AFF1"	2450
"AFF1-AS1"	146
"AFF2"	901
"AFF3"	1483
"AFF4"	6935
"AFG1L"	354
"AFG3L1P"	484
"AFG3L2"	1745
"AFM"	0
"AFMID"	996
"AFP"	5
"AFTPH"	1788
"AGA"	496
"AGAP1"	8710
"AGAP1-IT1"	73
"AGAP11"	119
"AGAP12P"	79
"AGAP2"	2830
"AGAP2-AS1"	32
"AGAP3"	2175
"AGAP4"	290
"AGAP5"	159
"AGAP6"	293
"AGAP7P"	18
"AGAP9"	69
"AGBL1"	14
"AGBL1-AS1"	0
"AGBL2"	16
"AGBL3"	122
"AGBL4"	364
"AGBL4-IT1"	11
"AGBL5"	401
"AGBL5-AS1"	0
"AGER"	66
"AGFG1"	3598
"AGFG2"	625
"AGGF1"	1693
"AGK"	860
"AGL"	1940
"AGMAT"	67
"AGMO"	28
"AGO1"	2690
"AGO2"	4390
"AGO3"	1646
"AGO4"	1380
"AGPAT1"	1321
"AGPAT2"	68
"AGPAT3"	3450
"AGPAT4"	4995
"AGPAT4-IT1"	449
"AGPAT5"	1585
"AGPS"	2096
"AGR2"	0
"AGR3"	2
"AGRN"	1599
"AGRP"	1
"AGT"	4874
"AGTPBP1"	8945
"AGTR1"	6
"AGTR2"	0
"AGTRAP"	202
"AGXT"	0
"AGXT2"	0
"AHCTF1"	2276
"AHCTF1P1"	5
"AHCY"	1164
"AHCYL1"	11275
"AHCYL2"	2328
"AHDC1"	840
"AHI1"	3298
"AHNAK"	27306
"AHNAK2"	3816
"AHR"	1507
"AHRR"	78
"AHSA1"	1791
"AHSA2P"	3086
"AHSG"	3
"AHSP"	0
"AICDA"	0
"AIDA"	1789
"AIF1"	291
"AIF1L"	4860
"AIFM1"	446
"AIFM2"	187
"AIFM3"	935
"AIG1"	1098
"AIM2"	6
"AIMP1"	750
"AIMP2"	247
"AIP"	737
"AIPL1"	1
"AIRE"	27
"AIRN"	7
"AJAP1"	559
"AJM1"	167
"AJUBA"	21
"AK1"	1060
"AK2"	1843
"AK3"	1524
"AK4"	2687
"AK5"	7958
"AK6"	299
"AK7"	107
"AK8"	62
"AK9"	660
"AKAIN1"	25
"AKAP1"	1439
"AKAP10"	1712
"AKAP11"	12969
"AKAP12"	5752
"AKAP13"	2177
"AKAP14"	1
"AKAP17A"	369
"AKAP2"	918
"AKAP3"	98
"AKAP4"	0
"AKAP5"	752
"AKAP6"	14166
"AKAP7"	699
"AKAP8"	559
"AKAP8L"	1247
"AKAP9"	7482
"AKIP1"	255
"AKIRIN1"	1714
"AKIRIN2"	553
"AKNA"	543
"AKNAD1"	13
"AKR1A1"	840
"AKR1B1"	1192
"AKR1B10"	0
"AKR1B15"	0
"AKR1C1"	138
"AKR1C2"	164
"AKR1C3"	156
"AKR1C4"	0
"AKR1C6P"	0
"AKR1C8P"	1
"AKR1D1"	0
"AKR1E2"	142
"AKR7A2"	1017
"AKR7A2P1"	8
"AKR7A3"	60
"AKR7L"	44
"AKT1"	1523
"AKT1S1"	349
"AKT2"	1636
"AKT3"	9037
"AKTIP"	1684
"ALAD"	3180
"ALAS1"	1194
"ALAS2"	0
"ALB"	23
"ALCAM"	7118
"ALDH16A1"	184
"ALDH18A1"	713
"ALDH1A1"	1584
"ALDH1A2"	87
"ALDH1A3"	296
"ALDH1B1"	355
"ALDH1L1"	1380
"ALDH1L1-AS1"	0
"ALDH1L1-AS2"	52
"ALDH1L2"	399
"ALDH2"	3766
"ALDH3A1"	1
"ALDH3A2"	1998
"ALDH3B1"	120
"ALDH3B2"	0
"ALDH4A1"	1259
"ALDH5A1"	2220
"ALDH6A1"	5982
"ALDH7A1"	2441
"ALDH8A1"	176
"ALDH9A1"	2135
"ALDOA"	15535
"ALDOB"	21
"ALDOC"	12022
"ALG1"	359
"ALG10"	182
"ALG10B"	605
"ALG11"	491
"ALG12"	471
"ALG13"	1117
"ALG14"	159
"ALG1L"	18
"ALG1L2"	16
"ALG1L9P"	183
"ALG2"	465
"ALG3"	144
"ALG5"	331
"ALG6"	298
"ALG8"	393
"ALG9"	949
"ALK"	257
"ALKAL1"	4
"ALKAL2"	26
"ALKBH1"	234
"ALKBH2"	168
"ALKBH3"	371
"ALKBH3-AS1"	0
"ALKBH4"	251
"ALKBH5"	2687
"ALKBH6"	176
"ALKBH7"	274
"ALKBH8"	359
"ALLC"	2
