gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-4_S2.bam
"A1BG"	28
"A1BG-AS1"	76
"A1CF"	0
"A2M"	3462
"A2M-AS1"	98
"A2ML1"	141
"A2MP1"	4
"A3GALT2"	2
"A4GALT"	15
"A4GNT"	1
"AA06"	52
"AAAS"	244
"AACS"	674
"AACSP1"	22
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	268
"AAED1"	41
"AAGAB"	763
"AAK1"	7710
"AAMDC"	38
"AAMP"	980
"AANAT"	3
"AAR2"	250
"AARD"	8
"AARS"	5015
"AARS2"	394
"AARSD1"	169
"AASDH"	463
"AASDHPPT"	1636
"AASS"	1087
"AATBC"	1
"AATF"	352
"AATK"	2087
"ABALON"	3
"ABAT"	5011
"ABCA1"	1300
"ABCA10"	800
"ABCA11P"	260
"ABCA12"	7
"ABCA13"	0
"ABCA17P"	42
"ABCA2"	9498
"ABCA3"	2677
"ABCA4"	11
"ABCA5"	2189
"ABCA6"	597
"ABCA7"	256
"ABCA8"	918
"ABCA9"	758
"ABCA9-AS1"	4
"ABCB1"	656
"ABCB10"	320
"ABCB11"	2
"ABCB4"	14
"ABCB5"	0
"ABCB6"	346
"ABCB7"	295
"ABCB8"	545
"ABCB9"	503
"ABCC1"	457
"ABCC10"	275
"ABCC11"	13
"ABCC12"	31
"ABCC13"	0
"ABCC2"	26
"ABCC3"	14
"ABCC4"	295
"ABCC5"	2129
"ABCC5-AS1"	1
"ABCC6"	17
"ABCC6P1"	2
"ABCC6P2"	1
"ABCC8"	1354
"ABCC9"	590
"ABCD1"	54
"ABCD2"	646
"ABCD3"	970
"ABCD4"	407
"ABCE1"	966
"ABCF1"	713
"ABCF2"	1033
"ABCF3"	777
"ABCG1"	839
"ABCG2"	495
"ABCG4"	322
"ABCG5"	6
"ABCG8"	25
"ABHD1"	3
"ABHD10"	707
"ABHD11"	81
"ABHD11-AS1"	0
"ABHD12"	1057
"ABHD12B"	46
"ABHD13"	569
