gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-21_S3.bam
"A1BG"	41
"A1BG-AS1"	136
"A1CF"	0
"A2M"	4085
"A2M-AS1"	123
"A2ML1"	146
"A2MP1"	1
"A3GALT2"	5
"A4GALT"	32
"A4GNT"	0
"AA06"	32
"AAAS"	439
"AACS"	1244
"AACSP1"	21
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	1
"AADACL4"	0
"AADACP1"	0
"AADAT"	299
"AAED1"	64
"AAGAB"	1973
"AAK1"	13182
"AAMDC"	89
"AAMP"	1677
"AANAT"	4
"AAR2"	344
"AARD"	15
"AARS"	7329
"AARS2"	694
"AARSD1"	286
"AASDH"	1002
"AASDHPPT"	3826
"AASS"	1159
"AATBC"	3
"AATF"	590
"AATK"	2192
"ABALON"	1
"ABAT"	10533
"ABCA1"	1000
"ABCA10"	946
"ABCA11P"	378
"ABCA12"	16
"ABCA13"	9
"ABCA17P"	59
"ABCA2"	7664
"ABCA3"	3753
"ABCA4"	64
"ABCA5"	4800
"ABCA6"	730
"ABCA7"	249
"ABCA8"	1081
"ABCA9"	823
"ABCA9-AS1"	5
"ABCB1"	855
"ABCB10"	488
"ABCB11"	5
"ABCB4"	21
"ABCB5"	1
"ABCB6"	646
"ABCB7"	538
"ABCB8"	581
"ABCB9"	732
"ABCC1"	510
"ABCC10"	321
"ABCC11"	47
"ABCC12"	101
"ABCC13"	0
"ABCC2"	18
"ABCC3"	26
"ABCC4"	375
"ABCC5"	3107
"ABCC5-AS1"	0
"ABCC6"	25
"ABCC6P1"	6
"ABCC6P2"	2
"ABCC8"	1409
"ABCC9"	1020
"ABCD1"	78
"ABCD2"	1575
"ABCD3"	1795
"ABCD4"	285
"ABCE1"	2024
"ABCF1"	1026
"ABCF2"	1902
"ABCF3"	1186
"ABCG1"	719
"ABCG2"	907
"ABCG4"	443
"ABCG5"	15
"ABCG8"	43
"ABHD1"	9
"ABHD10"	1529
"ABHD11"	190
"ABHD11-AS1"	0
"ABHD12"	1759
"ABHD12B"	127
"ABHD13"	839
"ABHD14A"	453
"ABHD14A-ACY1"	181
"ABHD14B"	140
"ABHD15"	73
"ABHD16A"	1010
"ABHD16B"	1
"ABHD17A"	1384
"ABHD17B"	924
"ABHD17C"	358
"ABHD18"	533
"ABHD2"	6374
"ABHD3"	184
"ABHD4"	207
"ABHD5"	676
"ABHD6"	894
"ABHD8"	1045
"ABI1"	2409
"ABI2"	9817
"ABI3"	36
"ABI3BP"	110
"ABL1"	906
"ABL2"	3331
"ABLIM1"	8092
"ABLIM2"	2295
"ABLIM3"	847
"ABO"	8
"ABR"	9117
"ABRA"	13
"ABRACL"	229
"ABRAXAS1"	70
"ABRAXAS2"	727
"ABT1"	311
"ABTB1"	578
"ABTB2"	159
"ACAA1"	781
"ACAA2"	614
"ACACA"	6403
"ACACB"	720
"ACAD10"	351
"ACAD11"	640
"ACAD8"	596
"ACAD9"	937
"ACADL"	70
"ACADM"	1507
"ACADS"	258
"ACADSB"	2096
"ACADVL"	2230
"ACAN"	119
"ACAP1"	14
"ACAP2"	2424
"ACAP3"	1552
"ACAT1"	881
"ACAT2"	1108
"ACBD3"	1172
"ACBD3-AS1"	0
"ACBD4"	288
"ACBD5"	2212
"ACBD6"	555
"ACBD7"	2748
"ACBD7-DCLRE1CP1"	83
"ACCS"	127
"ACCSL"	2
"ACD"	249
"ACE"	139
"ACE2"	11
"ACER1"	1
"ACER2"	202
"ACER3"	1591
"ACHE"	439
"ACIN1"	1994
"ACKR1"	179
"ACKR2"	30
"ACKR3"	142
"ACKR4"	5
"ACLY"	3832
"ACMSD"	0
"ACO1"	982
"ACO2"	7003
"ACOD1"	0
"ACOT1"	159
"ACOT11"	484
"ACOT12"	5
"ACOT13"	696
"ACOT2"	287
"ACOT4"	97
"ACOT6"	2
"ACOT7"	2286
"ACOT8"	443
"ACOT9"	776
"ACOX1"	3306
"ACOX2"	36
"ACOX3"	533
"ACOXL"	1
"ACOXL-AS1"	16
"ACP1"	1638
"ACP2"	768
"ACP4"	0
"ACP5"	9
"ACP6"	268
"ACP7"	36
"ACPP"	4
"ACR"	0
"ACRBP"	8
"ACRV1"	24
"ACSBG1"	2054
"ACSBG2"	5
"ACSF2"	127
"ACSF3"	303
"ACSL1"	1128
"ACSL3"	9079
"ACSL4"	3067
"ACSL5"	173
"ACSL6"	8836
"ACSM1"	2
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	4
"ACSM4"	0
"ACSM5"	43
"ACSM6"	0
"ACSS1"	1170
"ACSS2"	677
"ACSS3"	531
"ACTA1"	17
"ACTA2"	748
"ACTA2-AS1"	246
"ACTB"	31253
"ACTBL2"	0
"ACTC1"	24
"ACTG1"	14638
"ACTG1P17"	10
"ACTG1P20"	49
"ACTG1P4"	216
"ACTG2"	68
"ACTL10"	1
"ACTL6A"	105
"ACTL6B"	872
"ACTL7A"	0
"ACTL7B"	1
"ACTL8"	1
"ACTL9"	0
"ACTN1"	2255
"ACTN1-AS1"	0
"ACTN2"	1504
"ACTN3"	1
"ACTN4"	3367
"ACTR10"	1939
"ACTR1A"	4516
"ACTR1B"	3001
