gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-40_S6.bam
"A1BG"	18
"A1BG-AS1"	83
"A1CF"	0
"A2M"	1863
"A2M-AS1"	83
"A2ML1"	86
"A2MP1"	1
"A3GALT2"	0
"A4GALT"	11
"A4GNT"	0
"AA06"	28
"AAAS"	236
"AACS"	761
"AACSP1"	6
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	3
"AADACL3"	0
"AADACL4"	0
"AADACP1"	1
"AADAT"	176
"AAED1"	29
"AAGAB"	577
"AAK1"	6452
"AAMDC"	29
"AAMP"	689
"AANAT"	2
"AAR2"	147
"AARD"	7
"AARS"	4017
"AARS2"	377
"AARSD1"	109
"AASDH"	289
"AASDHPPT"	959
"AASS"	453
"AATBC"	8
"AATF"	375
"AATK"	2203
"ABALON"	3
"ABAT"	4081
"ABCA1"	801
"ABCA10"	252
"ABCA11P"	79
"ABCA12"	12
"ABCA13"	2
"ABCA17P"	60
"ABCA2"	8577
"ABCA3"	2834
"ABCA4"	14
"ABCA5"	1160
"ABCA6"	341
"ABCA7"	370
"ABCA8"	1128
"ABCA9"	390
"ABCA9-AS1"	3
"ABCB1"	303
"ABCB10"	175
"ABCB11"	1
"ABCB4"	3
"ABCB5"	0
"ABCB6"	496
"ABCB7"	217
"ABCB8"	460
"ABCB9"	331
"ABCC1"	407
"ABCC10"	287
"ABCC11"	20
"ABCC12"	26
"ABCC13"	0
"ABCC2"	38
"ABCC3"	18
"ABCC4"	154
"ABCC5"	2009
"ABCC5-AS1"	0
"ABCC6"	9
"ABCC6P1"	8
"ABCC6P2"	1
"ABCC8"	759
"ABCC9"	518
"ABCD1"	40
"ABCD2"	385
"ABCD3"	539
"ABCD4"	385
"ABCE1"	517
"ABCF1"	509
"ABCF2"	751
"ABCF3"	688
"ABCG1"	487
"ABCG2"	264
"ABCG4"	226
"ABCG5"	7
"ABCG8"	42
"ABHD1"	10
"ABHD10"	431
"ABHD11"	52
"ABHD11-AS1"	0
"ABHD12"	781
"ABHD12B"	42
"ABHD13"	494
"ABHD14A"	213
"ABHD14A-ACY1"	66
"ABHD14B"	80
"ABHD15"	74
"ABHD16A"	418
"ABHD16B"	0
"ABHD17A"	736
"ABHD17B"	374
"ABHD17C"	157
"ABHD18"	204
"ABHD2"	3126
"ABHD3"	117
"ABHD4"	145
"ABHD5"	287
"ABHD6"	546
"ABHD8"	824
"ABI1"	891
"ABI2"	3662
"ABI3"	21
"ABI3BP"	113
"ABL1"	772
"ABL2"	1483
"ABLIM1"	4002
"ABLIM2"	1126
"ABLIM3"	618
"ABO"	7
"ABR"	6457
"ABRA"	3
"ABRACL"	54
"ABRAXAS1"	27
"ABRAXAS2"	331
"ABT1"	100
"ABTB1"	326
"ABTB2"	126
"ACAA1"	366
"ACAA2"	212
"ACACA"	3467
"ACACB"	782
"ACAD10"	251
"ACAD11"	285
"ACAD8"	257
"ACAD9"	381
"ACADL"	21
"ACADM"	472
"ACADS"	65
"ACADSB"	548
"ACADVL"	1714
"ACAN"	72
"ACAP1"	13
"ACAP2"	1135
"ACAP3"	1276
"ACAT1"	365
"ACAT2"	226
"ACBD3"	521
"ACBD3-AS1"	0
"ACBD4"	120
"ACBD5"	946
"ACBD6"	246
"ACBD7"	769
"ACBD7-DCLRE1CP1"	23
"ACCS"	53
"ACCSL"	0
"ACD"	148
"ACE"	105
"ACE2"	1
"ACER1"	1
"ACER2"	142
"ACER3"	700
"ACHE"	293
"ACIN1"	1489
"ACKR1"	112
"ACKR2"	18
"ACKR3"	64
"ACKR4"	1
"ACLY"	1298
"ACMSD"	0
"ACO1"	394
"ACO2"	3684
"ACOD1"	0
"ACOT1"	20
"ACOT11"	429
"ACOT12"	0
"ACOT13"	308
"ACOT2"	61
"ACOT4"	17
"ACOT6"	0
"ACOT7"	1109
"ACOT8"	188
"ACOT9"	234
"ACOX1"	1173
"ACOX2"	45
"ACOX3"	255
"ACOXL"	0
"ACOXL-AS1"	6
"ACP1"	459
"ACP2"	214
"ACP4"	0
"ACP5"	6
"ACP6"	180
"ACP7"	24
"ACPP"	3
"ACR"	2
"ACRBP"	8
"ACRV1"	15
"ACSBG1"	568
"ACSBG2"	2
"ACSF2"	70
"ACSF3"	211
"ACSL1"	563
"ACSL3"	3065
"ACSL4"	1189
"ACSL5"	78
"ACSL6"	2372
"ACSM1"	7
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	0
"ACSM4"	0
"ACSM5"	36
"ACSM6"	0
"ACSS1"	591
"ACSS2"	455
"ACSS3"	311
"ACTA1"	10
"ACTA2"	88
"ACTA2-AS1"	108
"ACTB"	14146
"ACTBL2"	0
"ACTC1"	8
"ACTG1"	5562
"ACTG1P17"	2
"ACTG1P20"	46
"ACTG1P4"	60
"ACTG2"	3
"ACTL10"	1
"ACTL6A"	46
"ACTL6B"	382
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	0
"ACTL9"	0
"ACTN1"	1745
"ACTN1-AS1"	0
"ACTN2"	1107
"ACTN3"	1
"ACTN4"	2040
"ACTR10"	412
"ACTR1A"	1774
"ACTR1B"	748
"ACTR2"	2398
"ACTR3"	1100
"ACTR3B"	345
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	225
"ACTR5"	104
"ACTR6"	227
"ACTR8"	419
"ACTRT1"	2
"ACTRT2"	0
"ACTRT3"	59
"ACVR1"	196
"ACVR1B"	1021
"ACVR1C"	274
"ACVR2A"	467
"ACVR2B"	611
"ACVR2B-AS1"	18
"ACVRL1"	90
"ACY1"	26
"ACY3"	12
"ACYP1"	89
"ACYP2"	296
"ADA"	35
"ADA2"	66
"ADAD1"	0
"ADAD2"	14
"ADAL"	153
"ADAM10"	1219
"ADAM11"	1255
"ADAM12"	55
"ADAM15"	273
"ADAM17"	460
"ADAM18"	0
"ADAM19"	229
"ADAM1A"	92
"ADAM2"	0
"ADAM20"	171
"ADAM20P1"	167
"ADAM21"	6
"ADAM21P1"	1
"ADAM22"	3553
"ADAM23"	2549
"ADAM28"	81
"ADAM29"	5
"ADAM30"	0
"ADAM32"	119
"ADAM33"	61
"ADAM3A"	0
"ADAM3B"	6
"ADAM5"	7
"ADAM6"	0
"ADAM7"	0
"ADAM8"	56
"ADAM9"	756
"ADAMDEC1"	0
"ADAMTS1"	498
"ADAMTS10"	341
"ADAMTS12"	13
"ADAMTS13"	188
"ADAMTS14"	15
"ADAMTS15"	4
"ADAMTS16"	93
"ADAMTS17"	146
"ADAMTS18"	49
"ADAMTS19"	143
"ADAMTS19-AS1"	5
"ADAMTS2"	133
"ADAMTS20"	4
"ADAMTS3"	101
"ADAMTS4"	177
"ADAMTS5"	11
"ADAMTS6"	39
"ADAMTS7"	24
"ADAMTS7P1"	39
"ADAMTS8"	199
"ADAMTS9"	236
"ADAMTS9-AS1"	10
"ADAMTS9-AS2"	66
"ADAMTSL1"	67
"ADAMTSL2"	353
"ADAMTSL3"	215
"ADAMTSL4"	14
"ADAMTSL4-AS1"	14
"ADAMTSL5"	21
"ADAP1"	1140
"ADAP2"	62
"ADAR"	4867
"ADARB1"	1124
"ADARB2"	341
"ADARB2-AS1"	3
"ADAT1"	464
"ADAT2"	70
"ADAT3"	17
"ADCK1"	95
"ADCK2"	291
"ADCK5"	72
"ADCY1"	8511
"ADCY10"	49
"ADCY10P1"	155
"ADCY2"	2505
"ADCY3"	1078
"ADCY4"	54
"ADCY5"	1358
"ADCY6"	762
"ADCY7"	304
"ADCY8"	287
"ADCY9"	1030
"ADCYAP1"	49
"ADCYAP1R1"	2236
"ADD1"	4600
"ADD2"	3593
"ADD3"	3443
"ADD3-AS1"	27
"ADGB"	4
"ADGRA1"	710
"ADGRA1-AS1"	12
"ADGRA2"	188
"ADGRA3"	652
"ADGRB1"	1099
"ADGRB2"	2392
"ADGRB3"	3459
"ADGRD1"	56
"ADGRD1-AS1"	0
"ADGRE1"	0
"ADGRE2"	14
"ADGRE3"	0
"ADGRE4P"	2
"ADGRE5"	36
"ADGRF1"	0
"ADGRF2"	2
"ADGRF3"	18
"ADGRF4"	0
"ADGRF5"	450
"ADGRG1"	925
"ADGRG2"	2
"ADGRG3"	3
"ADGRG4"	1
"ADGRG5"	3
"ADGRG6"	35
"ADGRG7"	0
"ADGRL1"	4055
"ADGRL2"	1927
"ADGRL3"	3866
"ADGRL3-AS1"	1
"ADGRL4"	64
"ADGRV1"	4104
"ADH1A"	0
"ADH1B"	8
"ADH1C"	1
"ADH4"	0
"ADH5"	567
"ADH6"	0
"ADH7"	0
"ADHFE1"	114
"ADI1"	363
"ADIG"	1
"ADIPOQ"	0
"ADIPOQ-AS1"	0
"ADIPOR1"	735
"ADIPOR2"	1149
"ADIRF"	134
"ADK"	293
"ADM"	46
"ADM2"	2
"ADM5"	10
"ADNP"	1505
"ADNP-AS1"	2
"ADNP2"	537
"ADO"	537
"ADORA1"	688
"ADORA2A"	46
"ADORA2A-AS1"	1
"ADORA2B"	59
"ADORA3"	26
"ADPGK"	200
"ADPGK-AS1"	9
"ADPRH"	25
"ADPRHL1"	104
"ADPRHL2"	141
"ADPRM"	42
"ADRA1A"	535
"ADRA1B"	144
"ADRA1D"	22
"ADRA2A"	117
"ADRA2B"	17
"ADRA2C"	65
"ADRB1"	190
"ADRB2"	56
"ADRB3"	0
"ADRM1"	393
"ADSL"	165
"ADSS"	545
"ADSSL1"	32
"ADTRP"	47
"AEBP1"	844
"AEBP2"	771
"AEN"	111
"AES"	3154
"AFAP1"	521
"AFAP1-AS1"	46
"AFAP1L1"	49
"AFAP1L2"	504
"AFDN"	2289
"AFDN-DT"	4
"AFF1"	1292
"AFF1-AS1"	24
"AFF2"	798
"AFF3"	2081
"AFF4"	3222
"AFG1L"	187
"AFG3L1P"	181
"AFG3L2"	742
"AFM"	0
"AFMID"	245
"AFP"	3
"AFTPH"	987
"AGA"	52
"AGAP1"	4527
"AGAP1-IT1"	17
"AGAP11"	32
"AGAP12P"	39
"AGAP2"	4024
"AGAP2-AS1"	8
"AGAP3"	1936
"AGAP4"	131
"AGAP5"	60
"AGAP6"	116
"AGAP7P"	53
"AGAP9"	70
"AGBL1"	11
"AGBL1-AS1"	0
"AGBL2"	4
"AGBL3"	39
"AGBL4"	308
"AGBL4-IT1"	28
"AGBL5"	192
"AGBL5-AS1"	3
"AGER"	23
"AGFG1"	1529
"AGFG2"	422
"AGGF1"	794
"AGK"	413
"AGL"	620
"AGMAT"	67
"AGMO"	6
"AGO1"	1359
"AGO2"	1638
"AGO3"	581
"AGO4"	478
"AGPAT1"	763
"AGPAT2"	57
"AGPAT3"	1888
"AGPAT4"	1273
"AGPAT4-IT1"	103
"AGPAT5"	490
"AGPS"	715
"AGR2"	0
"AGR3"	0
"AGRN"	830
"AGRP"	1
"AGT"	1118
"AGTPBP1"	2440
"AGTR1"	0
"AGTR2"	3
"AGTRAP"	40
"AGXT"	0
"AGXT2"	0
"AHCTF1"	1449
"AHCTF1P1"	1
"AHCY"	433
"AHCYL1"	3904
"AHCYL2"	1275
"AHDC1"	1040
"AHI1"	1362
"AHNAK"	8671
"AHNAK2"	2728
