gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-44_S4.bam
"A1BG"	42
"A1BG-AS1"	90
"A1CF"	0
"A2M"	8419
"A2M-AS1"	162
"A2ML1"	411
"A2MP1"	4
"A3GALT2"	0
"A4GALT"	150
"A4GNT"	0
"AA06"	15
"AAAS"	511
"AACS"	424
"AACSP1"	9
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	5
"AADACL3"	0
"AADACL4"	0
"AADACP1"	3
"AADAT"	228
"AAED1"	119
"AAGAB"	637
"AAK1"	6560
"AAMDC"	113
"AAMP"	1043
"AANAT"	2
"AAR2"	380
"AARD"	6
"AARS"	4512
"AARS2"	507
"AARSD1"	98
"AASDH"	770
"AASDHPPT"	1011
"AASS"	1717
"AATBC"	13
"AATF"	884
"AATK"	2112
"ABALON"	4
"ABAT"	6909
"ABCA1"	4586
"ABCA10"	301
"ABCA11P"	97
"ABCA12"	7
"ABCA13"	25
"ABCA17P"	176
"ABCA2"	10658
"ABCA3"	2645
"ABCA4"	49
"ABCA5"	1336
"ABCA6"	1105
"ABCA7"	381
"ABCA8"	3360
"ABCA9"	1975
"ABCA9-AS1"	2
"ABCB1"	1214
"ABCB10"	313
"ABCB11"	3
"ABCB4"	22
"ABCB5"	2
"ABCB6"	770
"ABCB7"	473
"ABCB8"	598
"ABCB9"	509
"ABCC1"	841
"ABCC10"	502
"ABCC11"	23
"ABCC12"	5
"ABCC13"	2
"ABCC2"	75
"ABCC3"	281
"ABCC4"	907
"ABCC5"	2307
"ABCC5-AS1"	0
"ABCC6"	54
"ABCC6P1"	4
"ABCC6P2"	5
"ABCC8"	746
"ABCC9"	1112
"ABCD1"	159
"ABCD2"	327
"ABCD3"	1202
"ABCD4"	887
"ABCE1"	829
"ABCF1"	934
"ABCF2"	948
"ABCF3"	791
"ABCG1"	807
"ABCG2"	747
"ABCG4"	133
"ABCG5"	4
"ABCG8"	20
"ABHD1"	17
"ABHD10"	664
"ABHD11"	91
"ABHD11-AS1"	4
"ABHD12"	852
"ABHD12B"	54
"ABHD13"	832
"ABHD14A"	316
"ABHD14A-ACY1"	115
"ABHD14B"	313
"ABHD15"	141
"ABHD16A"	608
"ABHD16B"	0
"ABHD17A"	1265
"ABHD17B"	595
"ABHD17C"	448
"ABHD18"	378
"ABHD2"	3864
"ABHD3"	575
"ABHD4"	812
"ABHD5"	825
"ABHD6"	657
"ABHD8"	774
"ABI1"	2439
"ABI2"	6088
"ABI3"	165
"ABI3BP"	899
"ABL1"	2051
"ABL2"	2095
"ABLIM1"	12769
"ABLIM2"	972
"ABLIM3"	1589
"ABO"	11
"ABR"	10204
"ABRA"	6
"ABRACL"	58
"ABRAXAS1"	131
"ABRAXAS2"	513
"ABT1"	186
"ABTB1"	566
"ABTB2"	294
"ACAA1"	873
"ACAA2"	807
"ACACA"	3406
"ACACB"	2016
"ACAD10"	445
"ACAD11"	546
"ACAD8"	305
"ACAD9"	548
"ACADL"	219
"ACADM"	1056
"ACADS"	145
"ACADSB"	796
"ACADVL"	4359
"ACAN"	122
"ACAP1"	70
"ACAP2"	2502
"ACAP3"	1825
"ACAT1"	753
"ACAT2"	282
"ACBD3"	1265
"ACBD3-AS1"	0
"ACBD4"	292
"ACBD5"	1979
"ACBD6"	488
"ACBD7"	2318
"ACBD7-DCLRE1CP1"	50
"ACCS"	108
"ACCSL"	1
"ACD"	282
"ACE"	104
"ACE2"	18
"ACER1"	1
"ACER2"	380
"ACER3"	1377
"ACHE"	308
"ACIN1"	3610
"ACKR1"	301
"ACKR2"	32
"ACKR3"	540
"ACKR4"	16
"ACLY"	1686
"ACMSD"	2
"ACO1"	973
"ACO2"	4174
"ACOD1"	0
"ACOT1"	89
"ACOT11"	436
"ACOT12"	2
"ACOT13"	697
"ACOT2"	215
"ACOT4"	25
"ACOT6"	1
"ACOT7"	758
"ACOT8"	242
"ACOT9"	361
"ACOX1"	2343
"ACOX2"	266
"ACOX3"	514
"ACOXL"	0
"ACOXL-AS1"	11
"ACP1"	890
"ACP2"	242
"ACP4"	0
"ACP5"	38
"ACP6"	371
"ACP7"	49
"ACPP"	69
"ACR"	1
"ACRBP"	35
"ACRV1"	4
"ACSBG1"	1095
"ACSBG2"	24
"ACSF2"	430
"ACSF3"	276
"ACSL1"	1603
"ACSL3"	3774
"ACSL4"	1609
"ACSL5"	376
"ACSL6"	2134
"ACSM1"	10
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	12
"ACSM4"	0
"ACSM5"	529
"ACSM6"	0
"ACSS1"	1860
"ACSS2"	579
"ACSS3"	1094
"ACTA1"	11
"ACTA2"	2517
"ACTA2-AS1"	134
"ACTB"	25706
"ACTBL2"	0
"ACTC1"	34
"ACTG1"	11371
"ACTG1P17"	14
"ACTG1P20"	68
"ACTG1P4"	81
"ACTG2"	131
"ACTL10"	5
"ACTL6A"	264
"ACTL6B"	300
"ACTL7A"	0
"ACTL7B"	2
"ACTL8"	0
"ACTL9"	0
"ACTN1"	2447
"ACTN1-AS1"	6
"ACTN2"	510
"ACTN3"	7
"ACTN4"	4220
"ACTR10"	606
"ACTR1A"	2262
"ACTR1B"	797
"ACTR2"	3461
"ACTR3"	2211
"ACTR3B"	206
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	512
"ACTR5"	175
"ACTR6"	348
"ACTR8"	671
"ACTRT1"	2
"ACTRT2"	0
"ACTRT3"	256
"ACVR1"	527
"ACVR1B"	961
"ACVR1C"	405
"ACVR2A"	957
"ACVR2B"	1501
"ACVR2B-AS1"	22
"ACVRL1"	328
"ACY1"	67
"ACY3"	87
"ACYP1"	165
"ACYP2"	495
"ADA"	88
"ADA2"	304
"ADAD1"	0
"ADAD2"	5
"ADAL"	215
"ADAM10"	2823
"ADAM11"	477
"ADAM12"	218
"ADAM15"	870
"ADAM17"	1277
"ADAM18"	0
"ADAM19"	305
"ADAM1A"	157
"ADAM2"	0
"ADAM20"	220
"ADAM20P1"	212
"ADAM21"	8
"ADAM21P1"	2
"ADAM22"	3297
"ADAM23"	1181
"ADAM28"	964
"ADAM29"	5
"ADAM30"	0
"ADAM32"	206
"ADAM33"	1455
"ADAM3A"	0
"ADAM3B"	9
"ADAM5"	6
"ADAM6"	0
"ADAM7"	0
"ADAM8"	120
"ADAM9"	2193
"ADAMDEC1"	0
"ADAMTS1"	2202
"ADAMTS10"	965
"ADAMTS12"	84
"ADAMTS13"	175
"ADAMTS14"	53
"ADAMTS15"	99
"ADAMTS16"	163
"ADAMTS17"	150
"ADAMTS18"	4
"ADAMTS19"	148
"ADAMTS19-AS1"	4
"ADAMTS2"	170
"ADAMTS20"	5
"ADAMTS3"	109
"ADAMTS4"	204
"ADAMTS5"	62
"ADAMTS6"	118
"ADAMTS7"	56
"ADAMTS7P1"	78
"ADAMTS8"	241
"ADAMTS9"	657
"ADAMTS9-AS1"	6
"ADAMTS9-AS2"	357
"ADAMTSL1"	40
"ADAMTSL2"	361
"ADAMTSL3"	1021
"ADAMTSL4"	72
"ADAMTSL4-AS1"	57
"ADAMTSL5"	32
"ADAP1"	1057
"ADAP2"	256
"ADAR"	7769
"ADARB1"	1204
"ADARB2"	2156
"ADARB2-AS1"	8
"ADAT1"	529
"ADAT2"	117
"ADAT3"	54
"ADCK1"	118
"ADCK2"	410
"ADCK5"	105
"ADCY1"	4189
"ADCY10"	76
"ADCY10P1"	429
"ADCY2"	6545
"ADCY3"	1866
"ADCY4"	106
"ADCY5"	2099
"ADCY6"	941
"ADCY7"	1534
"ADCY8"	1556
"ADCY9"	1335
"ADCYAP1"	101
"ADCYAP1R1"	9239
"ADD1"	7311
"ADD2"	2604
"ADD3"	17635
"ADD3-AS1"	73
"ADGB"	24
"ADGRA1"	439
"ADGRA1-AS1"	5
"ADGRA2"	698
"ADGRA3"	3404
"ADGRB1"	1453
"ADGRB2"	2750
"ADGRB3"	3494
"ADGRD1"	159
"ADGRD1-AS1"	0
"ADGRE1"	20
"ADGRE2"	50
"ADGRE3"	3
"ADGRE4P"	24
"ADGRE5"	107
"ADGRF1"	0
"ADGRF2"	1
"ADGRF3"	72
"ADGRF4"	3
"ADGRF5"	922
"ADGRG1"	2505
"ADGRG2"	16
"ADGRG3"	6
"ADGRG4"	4
"ADGRG5"	22
"ADGRG6"	674
"ADGRG7"	0
"ADGRL1"	4192
"ADGRL2"	2419
"ADGRL3"	5898
"ADGRL3-AS1"	0
"ADGRL4"	298
"ADGRV1"	19049
"ADH1A"	4
"ADH1B"	753
"ADH1C"	3
"ADH4"	1
"ADH5"	1360
"ADH6"	0
"ADH7"	0
"ADHFE1"	270
"ADI1"	1212
"ADIG"	2
"ADIPOQ"	0
"ADIPOQ-AS1"	0
"ADIPOR1"	1742
"ADIPOR2"	2762
"ADIRF"	1484
"ADK"	430
"ADM"	205
"ADM2"	4
"ADM5"	43
"ADNP"	3173
"ADNP-AS1"	12
"ADNP2"	933
"ADO"	860
"ADORA1"	549
"ADORA2A"	84
"ADORA2A-AS1"	2
"ADORA2B"	84
"ADORA3"	372
"ADPGK"	416
"ADPGK-AS1"	7
"ADPRH"	145
"ADPRHL1"	115
"ADPRHL2"	311
"ADPRM"	122
"ADRA1A"	2120
"ADRA1B"	142
"ADRA1D"	53
"ADRA2A"	61
"ADRA2B"	70
"ADRA2C"	176
"ADRB1"	218
"ADRB2"	242
"ADRB3"	11
"ADRM1"	697
"ADSL"	333
"ADSS"	818
"ADSSL1"	70
"ADTRP"	15
"AEBP1"	8186
"AEBP2"	1364
"AEN"	248
"AES"	4223
"AFAP1"	1373
"AFAP1-AS1"	10
"AFAP1L1"	95
"AFAP1L2"	899
"AFDN"	4243
"AFDN-DT"	15
"AFF1"	4565
"AFF1-AS1"	93
"AFF2"	864
"AFF3"	1426
"AFF4"	7060
"AFG1L"	324
"AFG3L1P"	307
"AFG3L2"	706
"AFM"	0
"AFMID"	281
"AFP"	2
"AFTPH"	1482
"AGA"	255
"AGAP1"	5527
"AGAP1-IT1"	24
"AGAP11"	202
"AGAP12P"	71
"AGAP2"	4592
"AGAP2-AS1"	31
"AGAP3"	2323
"AGAP4"	193
"AGAP5"	130
"AGAP6"	187
"AGAP7P"	78
"AGAP9"	123
"AGBL1"	4
"AGBL1-AS1"	0
"AGBL2"	48
"AGBL3"	66
"AGBL4"	254
"AGBL4-IT1"	18
"AGBL5"	356
"AGBL5-AS1"	1
"AGER"	81
"AGFG1"	3177
"AGFG2"	1106
"AGGF1"	1348
"AGK"	465
"AGL"	873
"AGMAT"	42
"AGMO"	21
"AGO1"	2339
"AGO2"	3443
"AGO3"	1384
"AGO4"	1124
"AGPAT1"	1148
"AGPAT2"	96
"AGPAT3"	3385
"AGPAT4"	1886
"AGPAT4-IT1"	173
"AGPAT5"	1473
"AGPS"	1178
"AGR2"	1
"AGR3"	0
"AGRN"	1290
"AGRP"	1
"AGT"	8205
"AGTPBP1"	2142
"AGTR1"	38
"AGTR2"	3
"AGTRAP"	274
"AGXT"	0
"AGXT2"	0
"AHCTF1"	2552
"AHCTF1P1"	11
"AHCY"	784
"AHCYL1"	16322
"AHCYL2"	2785
"AHDC1"	1690
"AHI1"	2108
"AHNAK"	91411
"AHNAK2"	2655
"AHR"	1330
"AHRR"	110
"AHSA1"	4952
"AHSA2P"	2541
"AHSG"	0
"AHSP"	3
"AICDA"	0
"AIDA"	2280
"AIF1"	214
"AIF1L"	1415
"AIFM1"	255
"AIFM2"	237
"AIFM3"	1354
"AIG1"	782
"AIM2"	37
"AIMP1"	518
"AIMP2"	151
"AIP"	641
"AIPL1"	2
"AIRE"	24
"AIRN"	3
"AJAP1"	1022
"AJM1"	739
"AJUBA"	156
"AK1"	1865
"AK2"	1643
"AK3"	1716
"AK4"	3355
"AK5"	4400
"AK6"	281
"AK7"	97
"AK8"	42
"AK9"	562
"AKAIN1"	10
"AKAP1"	1425
"AKAP10"	1162
"AKAP11"	8552
"AKAP12"	5462
"AKAP13"	4416
"AKAP14"	8
"AKAP17A"	311
"AKAP2"	820
"AKAP3"	106
"AKAP4"	0
"AKAP5"	718
"AKAP6"	5888
"AKAP7"	455
"AKAP8"	529
"AKAP8L"	1580
"AKAP9"	6340
"AKIP1"	187
"AKIRIN1"	1443
"AKIRIN2"	694
"AKNA"	781
"AKNAD1"	10
"AKR1A1"	270
"AKR1B1"	851
"AKR1B10"	13
"AKR1B15"	3
"AKR1C1"	402
"AKR1C2"	587
"AKR1C3"	486
"AKR1C4"	0
"AKR1C6P"	0
"AKR1C8P"	1
"AKR1D1"	0
"AKR1E2"	127
"AKR7A2"	882
"AKR7A2P1"	9
"AKR7A3"	48
"AKR7L"	52
"AKT1"	1484
"AKT1S1"	650
"AKT2"	1577
"AKT3"	6558
"AKTIP"	1370
"ALAD"	2362
"ALAS1"	612
"ALAS2"	96
"ALB"	4
"ALCAM"	2766
"ALDH16A1"	138
"ALDH18A1"	640
"ALDH1A1"	475
"ALDH1A2"	432
"ALDH1A3"	103
"ALDH1B1"	176
"ALDH1L1"	1777
"ALDH1L1-AS1"	0
"ALDH1L1-AS2"	56
"ALDH1L2"	663
"ALDH2"	3433
"ALDH3A1"	12
"ALDH3A2"	1858
"ALDH3B1"	28
"ALDH3B2"	0
"ALDH4A1"	999
"ALDH5A1"	2193
"ALDH6A1"	5334
"ALDH7A1"	2320
"ALDH8A1"	99
"ALDH9A1"	2243
"ALDOA"	10138
"ALDOB"	1
"ALDOC"	6962
"ALG1"	249
"ALG10"	185
"ALG10B"	653
"ALG11"	358
"ALG12"	387
"ALG13"	922
"ALG14"	100
"ALG1L"	5
"ALG1L2"	13
"ALG1L9P"	114
"ALG2"	518
"ALG3"	182
"ALG5"	122
"ALG6"	172
"ALG8"	353
"ALG9"	680
"ALK"	371
"ALKAL1"	0
"ALKAL2"	27
"ALKBH1"	190
"ALKBH2"	105
"ALKBH3"	190
"ALKBH3-AS1"	0
"ALKBH4"	170
"ALKBH5"	2994
"ALKBH6"	130
"ALKBH7"	242
"ALKBH8"	236
"ALLC"	9
"ALMS1"	4519
"ALMS1-IT1"	34
"ALMS1P1"	102
"ALOX12"	3
"ALOX12-AS1"	61
"ALOX12B"	4
"ALOX12P2"	81
"ALOX15"	38
"ALOX15B"	65
"ALOX15P1"	13
"ALOX5"	237
"ALOX5AP"	199
"ALOXE3"	56
"ALPI"	0
"ALPK1"	338
"ALPK2"	12
"ALPK3"	440
"ALPL"	383
"ALPP"	0
"ALPPL2"	0
"ALS2"	1771
"ALS2CL"	355
"ALS2CR12"	194
"ALX1"	6
"ALX3"	40
"ALX4"	71
"ALYREF"	296
"AMACR"	146
"AMBN"	3
"AMBP"	7
"AMBRA1"	1156
"AMD1"	2923
"AMDHD1"	4
"AMDHD2"	211
"AMELX"	1
"AMELY"	0
"AMER1"	387
"AMER2"	9166
"AMER3"	550
"AMFR"	3591
"AMH"	71
"AMHR2"	0
"AMIGO1"	885
"AMIGO2"	510
"AMIGO3"	79
"AMMECR1"	172
"AMMECR1L"	586
"AMN"	8
"AMN1"	424
"AMOT"	5131
"AMOTL1"	1960
"AMOTL2"	1917
"AMPD1"	0
"AMPD2"	1619
"AMPD3"	857
"AMPH"	1185
"AMT"	240
"AMTN"	0
"AMY1A"	0
"AMY1B"	0
"AMY1C"	0
"AMY2A"	5
"AMY2B"	580
"AMZ1"	310
"AMZ2"	1398
"AMZ2P1"	357
"ANAPC1"	1225
"ANAPC10"	197
"ANAPC11"	279
"ANAPC13"	488
"ANAPC15"	192
"ANAPC16"	1337
"ANAPC1P1"	3
"ANAPC2"	371
"ANAPC4"	511
"ANAPC5"	1563
"ANAPC7"	741
"ANG"	96
"ANGEL1"	785
"ANGEL2"	982
"ANGPT1"	1066
"ANGPT2"	326
"ANGPT4"	2
"ANGPTL1"	283
"ANGPTL2"	199
"ANGPTL3"	0
"ANGPTL4"	296
"ANGPTL5"	20
"ANGPTL6"	7
"ANGPTL7"	30
"ANGPTL8"	3
"ANHX"	2
"ANK1"	607
"ANK2"	28224
"ANK3"	9143
"ANKAR"	564
"ANKDD1A"	349
"ANKDD1B"	46
"ANKEF1"	152
"ANKFN1"	347
"ANKFY1"	3947
"ANKH"	3020
"ANKHD1"	1748
"ANKHD1-EIF4EBP3"	1720
"ANKIB1"	4761
"ANKK1"	8
"ANKLE1"	41
"ANKLE2"	1101
"ANKMY1"	240
"ANKMY2"	720
"ANKRA2"	255
"ANKRD1"	2
"ANKRD10"	1473
"ANKRD11"	5131
"ANKRD12"	6745
"ANKRD13A"	740
"ANKRD13B"	797
"ANKRD13C"	946
"ANKRD13D"	666
"ANKRD16"	217
"ANKRD17"	7907
"ANKRD18A"	297
"ANKRD18B"	325
"ANKRD18CP"	319
"ANKRD18DP"	30
"ANKRD19P"	405
"ANKRD2"	47
"ANKRD20A1"	31
"ANKRD20A11P"	4
"ANKRD20A12P"	25
"ANKRD20A19P"	30
"ANKRD20A2"	23
"ANKRD20A3"	74
"ANKRD20A4"	16
"ANKRD20A4-ANKRD20A20P"	651
"ANKRD20A5P"	114
"ANKRD20A8P"	93
"ANKRD20A9P"	20
"ANKRD22"	15
"ANKRD23"	229
"ANKRD24"	610
"ANKRD26"	1717
"ANKRD26P1"	1
"ANKRD26P3"	57
"ANKRD27"	1031
"ANKRD28"	2263
"ANKRD29"	249
"ANKRD30A"	2
"ANKRD30B"	166
"ANKRD30BL"	5713
"ANKRD30BP2"	5
"ANKRD30BP3"	4
"ANKRD31"	54
"ANKRD33"	0
"ANKRD33B"	1223
"ANKRD34A"	246
"ANKRD34B"	8
"ANKRD34C"	108
"ANKRD34C-AS1"	13
"ANKRD35"	294
"ANKRD36"	3442
"ANKRD36B"	876
"ANKRD36BP1"	1
"ANKRD36BP2"	629
"ANKRD36C"	3127
"ANKRD37"	402
"ANKRD39"	103
"ANKRD40"	5274
"ANKRD42"	824
"ANKRD44"	1504
"ANKRD44-IT1"	91
"ANKRD45"	242
"ANKRD46"	1057
"ANKRD49"	320
"ANKRD50"	1242
"ANKRD52"	1955
"ANKRD53"	18
"ANKRD54"	378
"ANKRD55"	45
"ANKRD6"	1340
"ANKRD60"	3
"ANKRD61"	6
"ANKRD62"	25
"ANKRD62P1-PARP4P3"	4
"ANKRD63"	81
"ANKRD65"	179
"ANKRD66"	0
"ANKRD7"	24
"ANKRD9"	746
"ANKS1A"	1316
"ANKS1B"	3557
"ANKS3"	268
"ANKS4B"	1
"ANKS6"	681
"ANKUB1"	12
"ANKZF1"	860
"ANLN"	4148
"ANO1"	53
"ANO1-AS2"	0
"ANO10"	603
"ANO2"	289
"ANO3"	313
"ANO4"	688
"ANO5"	944
"ANO6"	3227
"ANO7"	22
"ANO8"	649
"ANO9"	7
"ANOS1"	2121
"ANP32A"	1634
"ANP32A-IT1"	213
"ANP32AP1"	0
"ANP32B"	592
"ANP32C"	41
"ANP32D"	4
"ANP32E"	1479
"ANPEP"	42
"ANTXR1"	5122
"ANTXR2"	1089
"ANTXRL"	3
"ANTXRLP1"	2
"ANXA1"	2193
"ANXA10"	0
"ANXA11"	2309
"ANXA13"	9
"ANXA2"	2385
"ANXA2P1"	0
"ANXA2P2"	3
"ANXA2P3"	3
"ANXA2R"	23
"ANXA3"	214
"ANXA4"	425
"ANXA5"	4091
"ANXA6"	2687
"ANXA7"	1482
"ANXA8"	0
"ANXA8L1"	0
"ANXA9"	10
"AOAH"	296
"AOAH-IT1"	12
"AOC1"	0
"AOC2"	104
"AOC3"	90
"AOC4P"	2
"AOX1"	194
"AOX3P-AOX2P"	0
