gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-30_S4.bam
"A1BG"	82
"A1BG-AS1"	277
"A1CF"	0
"A2M"	7690
"A2M-AS1"	187
"A2ML1"	209
"A2MP1"	4
"A3GALT2"	6
"A4GALT"	65
"A4GNT"	1
"AA06"	88
"AAAS"	737
"AACS"	2345
"AACSP1"	26
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	4
"AADACL3"	1
"AADACL4"	0
"AADACP1"	1
"AADAT"	536
"AAED1"	95
"AAGAB"	1769
"AAK1"	14610
"AAMDC"	130
"AAMP"	2405
"AANAT"	5
"AAR2"	549
"AARD"	15
"AARS"	11517
"AARS2"	1222
"AARSD1"	433
"AASDH"	790
"AASDHPPT"	3127
"AASS"	1695
"AATBC"	11
"AATF"	1423
"AATK"	8015
"ABALON"	4
"ABAT"	12687
"ABCA1"	2316
"ABCA10"	768
"ABCA11P"	412
"ABCA12"	19
"ABCA13"	20
"ABCA17P"	174
"ABCA2"	34140
"ABCA3"	7404
"ABCA4"	57
"ABCA5"	3356
"ABCA6"	828
"ABCA7"	705
"ABCA8"	2164
"ABCA9"	913
"ABCA9-AS1"	7
"ABCB1"	968
"ABCB10"	588
"ABCB11"	8
"ABCB4"	42
"ABCB5"	0
"ABCB6"	1160
"ABCB7"	526
"ABCB8"	1678
"ABCB9"	1334
"ABCC1"	1072
"ABCC10"	908
"ABCC11"	74
"ABCC12"	123
"ABCC13"	1
"ABCC2"	26
"ABCC3"	101
"ABCC4"	487
"ABCC5"	4422
"ABCC5-AS1"	2
"ABCC6"	39
"ABCC6P1"	16
"ABCC6P2"	1
"ABCC8"	2878
"ABCC9"	1036
"ABCD1"	145
"ABCD2"	1096
"ABCD3"	1489
"ABCD4"	920
"ABCE1"	1718
"ABCF1"	1671
"ABCF2"	2415
"ABCF3"	2019
"ABCG1"	1183
"ABCG2"	1648
"ABCG4"	865
"ABCG5"	29
"ABCG8"	74
"ABHD1"	25
"ABHD10"	1365
