gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-2_S2.bam
"A1BG"	96
"A1BG-AS1"	224
"A1CF"	3
"A2M"	8890
"A2M-AS1"	166
"A2ML1"	269
"A2MP1"	5
"A3GALT2"	0
"A4GALT"	47
"A4GNT"	1
"AA06"	76
"AAAS"	532
"AACS"	2484
"AACSP1"	21
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	3
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	389
"AAED1"	110
"AAGAB"	2146
"AAK1"	14354
"AAMDC"	111
"AAMP"	2560
"AANAT"	8
"AAR2"	459
"AARD"	24
"AARS"	7643
"AARS2"	1056
"AARSD1"	386
"AASDH"	1275
"AASDHPPT"	3947
"AASS"	1726
"AATBC"	4
"AATF"	840
"AATK"	3257
"ABALON"	5
"ABAT"	14805
"ABCA1"	3203
"ABCA10"	1632
"ABCA11P"	750
"ABCA12"	30
"ABCA13"	0
"ABCA17P"	175
"ABCA2"	15328
"ABCA3"	7052
"ABCA4"	72
"ABCA5"	6679
"ABCA6"	1319
"ABCA7"	586
"ABCA8"	1588
"ABCA9"	1574
"ABCA9-AS1"	9
"ABCB1"	1067
"ABCB10"	775
"ABCB11"	7
"ABCB4"	50
"ABCB5"	0
"ABCB6"	1145
"ABCB7"	652
"ABCB8"	1290
"ABCB9"	1350
"ABCC1"	1001
"ABCC10"	898
"ABCC11"	37
"ABCC12"	143
"ABCC13"	1
"ABCC2"	36
"ABCC3"	37
"ABCC4"	645
"ABCC5"	5199
"ABCC5-AS1"	1
"ABCC6"	37
"ABCC6P1"	13
"ABCC6P2"	5
"ABCC8"	2932
"ABCC9"	1223
"ABCD1"	127
"ABCD2"	2007
"ABCD3"	2223
"ABCD4"	791
"ABCE1"	2241
"ABCF1"	1275
"ABCF2"	2013
"ABCF3"	1632
"ABCG1"	1849
"ABCG2"	1671
"ABCG4"	660
"ABCG5"	11
"ABCG8"	56
"ABHD1"	16
"ABHD10"	1506
"ABHD11"	231
"ABHD11-AS1"	0
"ABHD12"	1996
"ABHD12B"	127
"ABHD13"	1111
"ABHD14A"	565
"ABHD14A-ACY1"	279
"ABHD14B"	246
"ABHD15"	231
"ABHD16A"	1489
"ABHD16B"	0
"ABHD17A"	1999
"ABHD17B"	1131
"ABHD17C"	609
"ABHD18"	864
"ABHD2"	10415
"ABHD3"	329
"ABHD4"	352
"ABHD5"	997
"ABHD6"	1166
"ABHD8"	2080
"ABI1"	3281
"ABI2"	14536
"ABI3"	76
"ABI3BP"	138
"ABL1"	1874
"ABL2"	4040
"ABLIM1"	14987
"ABLIM2"	3516
"ABLIM3"	1929
"ABO"	12
"ABR"	16227
"ABRA"	0
"ABRACL"	165
"ABRAXAS1"	183
"ABRAXAS2"	829
"ABT1"	443
"ABTB1"	1013
"ABTB2"	289
"ACAA1"	1195
"ACAA2"	951
"ACACA"	10076
"ACACB"	1808
"ACAD10"	659
"ACAD11"	758
"ACAD8"	1047
"ACAD9"	1454
"ACADL"	118
"ACADM"	1844
"ACADS"	422
"ACADSB"	2866
"ACADVL"	4559
"ACAN"	97
"ACAP1"	30
"ACAP2"	3940
"ACAP3"	4862
"ACAT1"	1615
"ACAT2"	1394
"ACBD3"	1371
"ACBD3-AS1"	0
"ACBD4"	465
"ACBD5"	2647
"ACBD6"	878
"ACBD7"	4272
"ACBD7-DCLRE1CP1"	155
"ACCS"	349
"ACCSL"	4
"ACD"	416
"ACE"	270
"ACE2"	29
"ACER1"	1
"ACER2"	303
"ACER3"	1669
"ACHE"	603
"ACIN1"	3240
"ACKR1"	413
"ACKR2"	47
"ACKR3"	240
"ACKR4"	3
"ACLY"	4067
"ACMSD"	0
"ACO1"	1662
"ACO2"	9077
"ACOD1"	1
"ACOT1"	320
"ACOT11"	990
"ACOT12"	27
"ACOT13"	730
"ACOT2"	367
"ACOT4"	157
"ACOT6"	7
"ACOT7"	2653
"ACOT8"	692
"ACOT9"	1091
"ACOX1"	5087
"ACOX2"	114
"ACOX3"	1058
"ACOXL"	3
"ACOXL-AS1"	22
"ACP1"	2108
"ACP2"	1104
"ACP4"	0
"ACP5"	11
"ACP6"	319
"ACP7"	63
"ACPP"	29
"ACR"	11
"ACRBP"	14
"ACRV1"	36
"ACSBG1"	2661
"ACSBG2"	25
"ACSF2"	286
"ACSF3"	554
"ACSL1"	1337
"ACSL3"	10047
"ACSL4"	3719
"ACSL5"	189
"ACSL6"	9657
"ACSM1"	12
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	10
"ACSM4"	0
"ACSM5"	265
"ACSM6"	0
"ACSS1"	1859
"ACSS2"	958
"ACSS3"	734
"ACTA1"	26
"ACTA2"	318
"ACTA2-AS1"	323
"ACTB"	45926
"ACTBL2"	0
"ACTC1"	62
"ACTG1"	20539
"ACTG1P17"	26
"ACTG1P20"	143
"ACTG1P4"	285
"ACTG2"	8
"ACTL10"	5
"ACTL6A"	150
"ACTL6B"	1277
"ACTL7A"	0
"ACTL7B"	4
"ACTL8"	0
"ACTL9"	0
"ACTN1"	4277
"ACTN1-AS1"	0
"ACTN2"	1945
"ACTN3"	4
"ACTN4"	3443
"ACTR10"	2145
"ACTR1A"	5005
"ACTR1B"	3459
"ACTR2"	7377
"ACTR3"	3055
"ACTR3B"	1242
"ACTR3BP2"	0
"ACTR3BP5"	1
"ACTR3C"	1104
"ACTR5"	453
"ACTR6"	956
"ACTR8"	1687
"ACTRT1"	5
"ACTRT2"	0
"ACTRT3"	96
"ACVR1"	681
"ACVR1B"	2976
"ACVR1C"	1241
"ACVR2A"	1924
"ACVR2B"	2079
"ACVR2B-AS1"	67
"ACVRL1"	289
"ACY1"	130
"ACY3"	35
"ACYP1"	245
"ACYP2"	971
"ADA"	53
"ADA2"	492
"ADAD1"	0
"ADAD2"	27
"ADAL"	691
"ADAM10"	3750
"ADAM11"	3852
"ADAM12"	245
"ADAM15"	1384
"ADAM17"	1589
"ADAM18"	0
"ADAM19"	820
"ADAM1A"	400
"ADAM2"	0
"ADAM20"	516
"ADAM20P1"	347
"ADAM21"	14
"ADAM21P1"	2
"ADAM22"	13113
"ADAM23"	5019
"ADAM28"	580
"ADAM29"	6
"ADAM30"	0
"ADAM32"	442
"ADAM33"	393
"ADAM3A"	0
"ADAM3B"	20
"ADAM5"	7
"ADAM6"	0
"ADAM7"	0
"ADAM8"	94
"ADAM9"	2289
"ADAMDEC1"	1
"ADAMTS1"	686
"ADAMTS10"	1164
"ADAMTS12"	25
"ADAMTS13"	399
"ADAMTS14"	64
"ADAMTS15"	30
"ADAMTS16"	648
"ADAMTS17"	336
"ADAMTS18"	428
"ADAMTS19"	354
"ADAMTS19-AS1"	19
"ADAMTS2"	238
"ADAMTS20"	14
"ADAMTS3"	532
"ADAMTS4"	350
"ADAMTS5"	224
"ADAMTS6"	152
"ADAMTS7"	35
"ADAMTS7P1"	131
"ADAMTS8"	884
"ADAMTS9"	320
"ADAMTS9-AS1"	35
"ADAMTS9-AS2"	305
"ADAMTSL1"	217
"ADAMTSL2"	681
"ADAMTSL3"	441
"ADAMTSL4"	33
